ACEH,ACEH SELATAN,ACEH TENGGARA,ACEH TIMUR,ACEH TENGAH,ACEH BARAT,ACEH BESAR,PIDIE,ACEH UTARA,SIMEULUE,ACEH SINGKIL,BIREUEN,ACEH BARAT DAYA,GAYO LUES,ACEH JAYA,NAGAN RAYA,ACEH TAMIANG,BENER MERIAH,PIDIE JAYA,KOTA BANDA ACEH,KOTA SABANG,KOTA LHOKSEUMAWE,KOTA LANGSA,KOTA SUBULUSSALAM,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),75308,68855,135005,62100,62159,123630,139262,192044,26706,37161,142528,47793,29142,29393,55004,93990,45846,49313,78587,11379,60026,53735,23386,1642352
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),78779,73239,136526,62334,61398,122681,149389,201122,26340,37350,152971,48684,30154,28032,55974,93579,45972,52920,78188,11948,61859,55355,23573,1688367
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),154087,142094,271531,124434,123557,246311,288651,393166,53046,74511,295499,96477,59296,57425,110978,187569,91818,102233,156775,23327,121885,109090,46959,3330719
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),75,54,40,189,129,76,151,73,78,43,36,39,34,3,4,77,33,20,280,32,72,104,31,1673
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),62,45,26,174,21,67,29,38,69,29,30,43,39,6,3,38,38,19,234,11,45,72,16,1154
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),137,99,66,363,150,143,180,111,147,72,66,82,73,9,7,115,71,39,514,43,117,176,47,2827
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),48,73,86,892,11,0,17,10,0,114,18,497,16,2,36,91,11,83,25,0,64,47,2,2143
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),41,112,62,1112,7,0,14,9,0,66,11,476,21,0,40,66,9,83,8,0,80,33,3,2253
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),89,185,148,2004,18,0,31,19,0,180,29,973,37,2,76,157,20,166,33,0,144,80,5,4396
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),216,181,279,914,436,1064,144,309,406,441,95,142,130,24,387,321,133,121,2189,87,527,762,187,9495
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),242,244,263,959,258,1140,121,238,396,468,72,137,169,23,392,337,112,107,2351,92,642,808,151,9722
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),458,425,542,1873,694,2204,265,547,802,909,167,279,299,47,779,658,245,228,4540,179,1169,1570,338,19217
5. Jumlah Pemilih (1+2+3+4+5) (LK),75647,69163,135410,64095,62735,124770,139574,192436,27190,37759,142677,48471,29322,29422,55431,94479,46023,49537,81081,11498,60689,54648,23606,1655663
5. Jumlah Pemilih (1+2+3+4+5) (PR),79124,73640,136877,64579,61684,123888,149553,201407,26805,37913,153084,49340,30383,28061,56409,94020,46131,53129,80781,12051,62626,56268,23743,1701496
5. Jumlah Pemilih (1+2+3+4+5) (JML),154771,142803,272287,128674,124419,248658,289127,393843,53995,75672,295761,97811,59705,57483,111840,188499,92154,102666,161862,23549,123315,110916,47349,3357159
1. Pengguna hak pilih dalam DPT (LK),46066,55094,63058,48101,42971,80230,75915,99116,20213,22897,69843,26032,21440,20339,36360,55258,35639,24491,36947,6000,24683,27724,15372,953789
