KEPULAUAN RIAU,BINTAN,KARIMUN,NATUNA,LINGGA,KEPULAUAN ANAMBAS,KOTA BATAM,KOTA TANJUNGPINANG,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),55053,86126,26495,34702,16140,388322,73174,680012
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),51188,82043,25251,32902,14279,364581,73371,643615
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),106241,168169,51746,67604,30419,752903,146545,1323627
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),329,256,89,261,68,2453,312,3768
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),228,145,60,184,20,2264,283,3184
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),557,401,149,445,88,4717,595,6952
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),55,73,28,21,87,2689,114,3067
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),45,11,19,35,37,3780,123,4050
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),100,84,47,56,124,6469,237,7117
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),1127,2214,428,146,381,24889,1577,30762
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),975,2033,353,136,253,22822,1520,28092
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),2102,4247,781,282,634,47711,3097,58854
5. Jumlah Pemilih (1+2+3+4+5) (LK),56564,88669,27040,35130,16676,418353,75177,717609
5. Jumlah Pemilih (1+2+3+4+5) (PR),52436,84232,25683,33257,14589,393447,75297,678941
5. Jumlah Pemilih (1+2+3+4+5) (JML),109000,172901,52723,68387,31265,811800,150474,1396550
1. Pengguna hak pilih dalam DPT (LK),34537,47380,15854,23794,10300,205915,43386,381166
1. Pengguna hak pilih dalam DPT (PR),34139,50215,15668,23044,9638,201137,46977,380818
1. Pengguna hak pilih dalam DPT (JML),68676,97595,31522,46838,19938,407052,90363,761984
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),325,253,89,252,68,2207,277,3471
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),224,141,60,173,20,2021,238,2877
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),549,394,149,425,88,4228,515,6348
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),36,66,10,6,45,1475,71,1709
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),15,4,8,11,15,2061,66,2180
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),51,70,18,17,60,3536,137,3889
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),1125,2189,428,146,381,24240,1576,30085
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),975,2024,353,136,252,22460,1519,27719
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),2100,4213,781,282,633,46700,3095,57804
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),36023,49888,16381,24198,10794,233837,45310,416431
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),35353,52384,16089,23364,9925,227679,48800,413594
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),71376,102272,32470,47562,20719,461516,94110,830025
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),108516,171755,52864,69076,31074,768718,149618,1351621
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,40,19,6,20,23,813,168,1089
Jumlah surat suara yang tidak digunakan,37100,69464,20388,21494,10332,306389,55340,520507
Jumlah surat suara digunakan,71376,102272,32470,47562,20719,461516,94110,830025
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,70780,101352,32324,46961,20613,459412,93285,824727
Jumlah Suara tidak sah,596,920,146,601,106,2104,825,5298
Jumlah suara sah dan tidak sah,71376,102272,32470,47562,20719,461516,94110,830025
H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,27117,35843,9952,14018,5468,202246,38264,332908
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,43663,65509,22372,32943,15145,257166,55021,491819
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,70780,101352,32324,46961,20613,459412,93285,824727
