DKI JAKARTA,KEPULAUAN SERIBU,JAKARTA PUSAT,JAKARTA UTARA,JAKARTA BARAT,JAKARTA SELATAN,JAKARTA TIMUR,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),11205,391514,576463,844355,792071,978951,3594559
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),8389,382448,558820,812302,775503,964147,3501609
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),19594,773962,1135283,1656657,1567574,1943098,7096168
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),686,5929,6880,6127,15805,8774,44201
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),31,4736,5254,5497,13980,7096,36594
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),717,10665,12134,11624,29785,15870,80795
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),141,1865,1549,2274,2645,2088,10562
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),0,1678,1386,2262,2580,2036,9942
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),141,3543,2935,4536,5225,4124,20504
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),71,15148,27905,36899,30684,52816,163523
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),68,12258,28025,37110,32394,52256,162111
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),139,27406,55930,74009,63078,105072,325634
5. Jumlah Pemilih (1+2+3+4+5) (LK),12103,414456,612797,889655,841205,1042629,3812845
5. Jumlah Pemilih (1+2+3+4+5) (PR),8488,401120,593485,857171,824457,1025535,3710256
5. Jumlah Pemilih (1+2+3+4+5) (JML),20591,815576,1206282,1746826,1665662,2068164,7523101
1. Pengguna hak pilih dalam DPT (LK),7828,261448,388933,567929,537474,696059,2459671
1. Pengguna hak pilih dalam DPT (PR),6571,273695,409726,577682,562918,741515,2572107
1. Pengguna hak pilih dalam DPT (JML),14399,535143,798659,1145611,1100392,1437574,5031778
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),512,5080,6045,5962,14084,8611,40294
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),28,4079,4765,5353,12843,6982,34050
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),540,9159,10810,11315,26927,15593,74344
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),72,1222,942,1243,1527,1237,6243
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),0,1138,905,1211,1541,1213,6008
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),72,2360,1847,2454,3068,2450,12251
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),71,14166,27905,36810,30525,52457,161934
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),68,12204,28025,37005,32250,51846,161398
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),139,26370,55930,73815,62775,104303,323332
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),8483,281916,423825,611944,583610,758364,2668142
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),6667,291116,443421,621251,609552,801556,2773563
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),15150,573032,867246,1233195,1193162,1559920,5441705
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),19991,790179,1160066,1692936,1601470,1980556,7245198
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,1,575,713,961,1487,1380,5117
Jumlah surat suara yang tidak digunakan,4840,216572,292107,458780,406821,419256,1798376
Jumlah surat suara digunakan,15150,573032,867246,1233195,1193162,1559920,5441705
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,14995,566435,859305,1221918,1180800,1544505,5387958
Jumlah Suara tidak sah,155,6597,7941,11277,12362,15415,53747
Jumlah suara sah dan tidak sah,15150,573032,867246,1233195,1193162,1559920,5441705
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,8089,308059,516654,742103,568358,716631,2859894
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,14995,566435,859305,1221918,1180800,1544505,5387958
