JAWA BARAT,BOGOR,SUKABUMI,CIANJUR,BANDUNG,GARUT,TASIKMALAYA,CIAMIS,KUNINGAN,CIREBON,MAJALENGKA,SUMEDANG,INDRAMAYU,SUBANG,PURWAKARTA,KARAWANG,BEKASI,BANDUNG BARAT,KOTA BOGOR,KOTA SUKABUMI,KOTA BANDUNG,KOTA CIREBON,KOTA BEKASI,KOTA DEPOK,KOTA CIMAHI,KOTA TASIKMALAYA,KOTA BANJAR,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1701194,904490,860021,1238775,916461,681890,615640,427963,878796,478921,418555,701189,574063,324527,846362,1045115,592743,342018,111035,849230,116194,877111,627573,192346,239535,69243,16630990
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1617730,887260,822175,1207561,888852,672584,627531,420227,861369,487337,419559,721911,586012,322699,845641,1026927,582780,338158,111904,846343,117580,875083,625910,195576,233894,71489,16414092
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),3318924,1791750,1682196,2446336,1805313,1354474,1243171,848190,1740165,966258,838114,1423100,1160075,647226,1692003,2072042,1175523,680176,222939,1695573,233774,1752194,1253483,387922,473429,140732,33045082
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),6276,2369,997,2283,1759,1252,3164,629,828,309,1203,1541,659,1164,1135,3057,1573,2396,564,7711,471,4525,5901,1235,767,288,54056
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),5424,1214,614,1643,972,904,2268,449,811,240,1189,987,621,856,920,2111,1064,2533,438,7143,380,4257,5800,1219,708,252,45017
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),11700,3583,1611,3926,2731,2156,5432,1078,1639,549,2392,2528,1280,2020,2055,5168,2637,4929,1002,14854,851,8782,11701,2454,1475,540,99073
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),1219,385,1705,2828,70,25,625,545,224,53,591,446,453,180,1968,4491,1023,1272,173,2467,161,3227,1394,708,110,136,26479
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),1045,670,1699,2721,72,19,514,494,161,82,649,363,417,154,1709,4219,1068,1235,197,2429,118,2925,1298,715,118,51,25142
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),2264,1055,3404,5549,142,44,1139,1039,385,135,1240,809,870,334,3677,8710,2091,2507,370,4896,279,6152,2692,1423,228,187,51621
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),33516,7229,6659,21351,3111,2204,2282,2316,9760,1571,2080,8113,4281,3239,29237,47665,8223,9918,1265,21365,1943,48577,20132,4214,1099,655,302005
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),37944,7695,7582,24283,3684,2705,2845,2836,11362,1800,2357,8710,4501,3508,30959,47850,8918,11434,1407,23060,2077,47319,22002,4661,1276,822,323597
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),71460,14924,14241,45634,6795,4909,5127,5152,21122,3371,4437,16823,8782,6747,60196,95515,17141,21352,2672,44425,4020,95896,42134,8875,2375,1477,625602
