JAWA TENGAH,CILACAP,BANYUMAS,PURBALINGGA,BANJARNEGARA,KEBUMEN,PURWOREJO,WONOSOBO,MAGELANG,BOYOLALI,KLATEN,SUKOHARJO,WONOGIRI,KARANGANYAR,SRAGEN,GROBOGAN,BLORA,REMBANG,PATI,KUDUS,JEPARA,DEMAK,SEMARANG,TEMANGGUNG,KENDAL,BATANG,PEKALONGAN,PEMALANG,TEGAL,BREBES,KOTA MAGELANG,KOTA SURAKARTA,KOTA SALATIGA,KOTA SEMARANG,KOTA PEKALONGAN,KOTA TEGAL,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),741199,657048,366161,382709,521086,310580,332102,476088,397546,493801,331797,450372,340353,380628,545087,345457,239364,506224,296317,419109,417644,370603,289537,374446,291846,358704,559169,605453,754060,44795,199159,62804,544065,108362,100187,13613862
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),743328,661702,361616,376224,515367,319217,324268,483548,404602,515468,340097,455973,348282,390468,557490,356313,239782,524770,307988,422465,420970,383663,289921,381685,294409,353698,553814,592106,739037,48571,210618,67107,577759,109102,99927,13771355
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),1484527,1318750,727777,758933,1036453,629797,656370,959636,802148,1009269,671894,906345,688635,771096,1102577,701770,479146,1030994,604305,841574,838614,754266,579458,756131,586255,712402,1112983,1197559,1493097,93366,409777,129911,1121824,217464,200114,27385217
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),843,3075,854,749,788,534,356,737,240,513,573,912,351,195,152,407,242,247,427,391,321,730,390,367,131,326,417,318,1013,314,1055,472,5757,405,357,24959
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),463,3985,522,372,728,512,331,653,247,475,675,516,312,192,113,367,248,304,451,353,340,633,426,343,162,249,228,290,1405,372,1096,580,7002,217,311,25473
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),1306,7060,1376,1121,1516,1046,687,1390,487,988,1248,1428,663,387,265,774,490,551,878,744,661,1363,816,710,293,575,645,608,2418,686,2151,1052,12759,622,668,50432
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),262,562,80,162,285,55,335,274,114,287,51,66,38,111,83,276,139,150,247,357,122,123,275,146,297,230,352,143,188,17,178,200,484,80,73,6842
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),246,462,74,193,283,52,418,384,112,260,55,54,46,143,73,228,114,143,288,241,160,159,332,172,259,184,317,154,150,20,182,268,374,114,60,6774
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),508,1024,154,355,568,107,753,658,226,547,106,120,84,254,156,504,253,293,535,598,282,282,607,318,556,414,669,297,338,37,360,468,858,194,133,13616
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),3836,2971,890,1250,1901,635,827,1547,1652,2097,3373,1053,1480,1797,1356,718,709,989,902,1586,1474,1372,679,1432,722,980,4330,5379,4994,575,3314,650,12090,1204,1227,71991
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),3808,3411,1061,1646,2182,891,1202,2159,2306,3059,4169,1061,1791,2066,1508,721,666,1114,990,1935,1624,1768,926,1940,736,1001,4922,6263,5782,754,3945,791,14156,1229,1224,84807
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),7644,6382,1951,2896,4083,1526,2029,3706,3958,5156,7542,2114,3271,3863,2864,1439,1375,2103,1892,3521,3098,3140,1605,3372,1458,1981,9252,11642,10776,1329,7259,1441,26246,2433,2451,156798
5. Jumlah Pemilih (1+2+3+4+5) (LK),746140,663656,367985,384870,524060,311804,333620,478646,399552,496698,335794,452403,342222,382731,546678,346858,240454,507610,297893,421443,419561,372828,290881,376391,292996,360240,564268,611293,760255,45701,203706,64126,562396,110051,101844,13717654
5. Jumlah Pemilih (1+2+3+4+5) (PR),747845,669560,363273,378435,518560,320672,326219,486744,407267,519262,344996,457604,350431,392869,559184,357629,240810,526331,309717,424994,423094,386223,291605,384140,295566,355132,559281,598813,746374,49717,215841,68746,599291,110662,101522,13888409
5. Jumlah Pemilih (1+2+3+4+5) (JML),1493985,1333216,731258,763305,1042620,632476,659839,965390,806819,1015960,680790,910007,692653,775600,1105862,704487,481264,1033941,607610,846437,842655,759051,582486,760531,588562,715372,1123549,1210106,1506629,95418,419547,132872,1161687,220713,203366,27606063
1. Pengguna hak pilih dalam DPT (LK),451646,449452,226959,244193,318386,204475,232361,370943,286161,357665,247406,281609,256119,255148,325034,230983,173848,336727,207219,280683,276561,282208,237186,275333,199317,216949,299019,326885,409440,34308,157737,49906,417320,77828,61256,9058270
1. Pengguna hak pilih dalam DPT (PR),514265,505356,280493,278007,363558,226958,241094,391589,318640,395384,266737,322447,278357,290818,406051,271014,199493,403976,250475,336859,318467,309067,245606,287837,228689,261843,383299,417382,505242,39325,173442,56017,471888,86377,72086,10398138
1. Pengguna hak pilih dalam DPT (JML),965911,954808,507452,522200,681944,431433,473455,762532,604801,753049,514143,604056,534476,545966,731085,501997,373341,740703,457694,617542,595028,591275,482792,563170,428006,478792,682318,744267,914682,73633,331179,105923,889208,164205,133342,19456408
