DAERAH ISTIMEWA YOGYAKARTA,KULON PROGO,BANTUL,GUNUNGKIDUL,SLEMAN,KOTA YOGYAKARTA,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),162529,349136,290133,382892,149235,1333925
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),173368,369823,307456,406658,161045,1418350
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),335897,718959,597589,789550,310280,2752275
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),348,1136,645,4129,1917,8175
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),386,1470,608,4765,2123,9352
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),734,2606,1253,8894,4040,17527
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),69,189,31,416,380,1085
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),69,260,24,450,401,1204
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),138,449,55,866,781,2289
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),518,4427,1300,9127,2843,18215
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),792,5683,1359,10523,3481,21838
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),1310,10110,2659,19650,6324,40053
5. Jumlah Pemilih (1+2+3+4+5) (LK),163464,354888,292109,396564,154375,1361400
5. Jumlah Pemilih (1+2+3+4+5) (PR),174615,377236,309447,422396,167050,1450744
5. Jumlah Pemilih (1+2+3+4+5) (JML),338079,732124,601556,818960,321425,2812144
1. Pengguna hak pilih dalam DPT (LK),127135,281108,217799,306647,112265,1044954
1. Pengguna hak pilih dalam DPT (PR),138874,301437,240935,333872,127111,1142229
1. Pengguna hak pilih dalam DPT (JML),266009,582545,458734,640519,239376,2187183
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),348,1045,595,3992,1712,7692
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),385,1252,509,4610,1893,8649
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),733,2297,1104,8602,3605,16341
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),55,139,18,238,311,761
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),46,179,19,269,313,826
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),101,318,37,507,624,1587
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),518,4427,1300,9127,2843,18215
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),792,5683,1359,10523,3481,21838
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),1310,10110,2659,19650,6324,40053
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),128056,286719,219712,320004,117131,1071622
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),140097,308551,242822,349274,132798,1173542
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),268153,595270,462534,669278,249929,2245164
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),343136,735776,610867,807835,317166,2814780
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,112,626,615,1086,136,2575
Jumlah surat suara yang tidak digunakan,74871,139880,147718,137471,67101,567041
Jumlah surat suara digunakan,268153,595270,462534,669278,249929,2245164
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,264026,584918,456911,659395,246341,2211591
Jumlah Suara tidak sah,4127,10352,5623,9883,3588,33573
Jumlah suara sah dan tidak sah,268153,595270,462534,669278,249929,2245164
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,136881,313383,280110,355975,147900,1234249
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,264026,584918,456911,659395,246341,2211591
