JAWA TIMUR,PACITAN,PONOROGO,TRENGGALEK,TULUNGAGUNG,BLITAR,KEDIRI,MALANG,LUMAJANG,JEMBER,BANYUWANGI,BONDOWOSO,SITUBONDO,PROBOLINGGO,PASURUAN,SIDOARJO,MOJOKERTO,JOMBANG,NGANJUK,MADIUN,MAGETAN,NGAWI,BOJONEGORO,TUBAN,LAMONGAN,GRESIK,BANGKALAN,SAMPANG,PAMEKASAN,SUMENEP,KOTA KEDIRI,KOTA BLITAR,KOTA MALANG,KOTA PROBOLINGGO,KOTA PASURUAN,KOTA MOJOKERTO,KOTA MADIUN,KOTA SURABAYA,KOTA BATU,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),226810,379290,283045,422193,459116,591915,989729,407155,873506,625915,287970,249434,414488,581109,686856,403900,493597,434909,282906,266135,354167,517363,457979,533103,450856,468622,399257,330308,422968,103492,52702,300435,80596,69465,46067,69031,990497,73163,15080049
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),234476,392626,282598,427823,461189,590340,999640,429443,888384,636253,310757,273372,443023,600377,703788,410437,498173,440010,299869,287777,371507,524166,471181,548859,455577,494412,406202,350420,473557,105795,55302,310811,84615,72377,48461,75376,1026953,73922,15559848
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),461286,771916,565643,850016,920305,1182255,1989369,836598,1761890,1262168,598727,522806,857511,1181486,1390644,814337,991770,874919,582775,553912,725674,1041529,929160,1081962,906433,963034,805459,680728,896525,209287,108004,611246,165211,141842,94528,144407,2017450,147085,30639897
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),1242,806,576,598,139,247,2205,628,1317,662,337,320,172,326,1263,242,122,227,66,102,240,249,277,123,724,79,193,222,228,679,237,2269,399,99,115,219,4939,205,23093
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),446,444,200,408,176,224,2019,315,1334,397,123,165,68,261,1348,235,120,115,46,107,321,140,143,96,595,64,35,134,116,816,133,2408,234,77,113,208,5509,237,19930
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),1688,1250,776,1006,315,471,4224,943,2651,1059,460,485,240,587,2611,477,242,342,112,209,561,389,420,219,1319,143,228,356,344,1495,370,4677,633,176,228,427,10448,442,43023
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),147,73,180,311,146,63,549,42,342,145,32,245,0,286,2083,170,71,2,47,124,339,198,29,75,469,0,0,60,3,61,37,356,156,64,122,31,150,21,7229
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),130,73,145,304,105,60,602,45,347,140,43,199,0,320,1642,125,60,0,49,81,274,190,33,81,446,0,0,43,3,76,55,401,131,58,65,17,144,35,6522
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),277,146,325,615,251,123,1151,87,689,285,75,444,0,606,3725,295,131,2,96,205,613,388,62,156,915,0,0,103,6,137,92,757,287,122,187,48,294,56,13751
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),975,1049,814,1898,1304,2264,8143,2725,11070,6127,1031,1069,517,2982,12787,1437,2639,1160,746,578,1323,995,778,1971,3090,201,345,778,920,1872,564,6073,813,903,608,1064,27047,798,111458
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),1030,1144,884,2185,1436,2384,8687,3125,12897,6941,1295,1263,553,3301,14273,1513,2899,1418,816,660,1596,1062,801,2155,3066,255,308,921,951,2254,625,7270,871,1068,706,1228,30780,892,125513
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),2005,2193,1698,4083,2740,4648,16830,5850,23967,13068,2326,2332,1070,6283,27060,2950,5538,2578,1562,1238,2919,2057,1579,4126,6156,456,653,1699,1871,4126,1189,13343,1684,1971,1314,2292,57827,1690,236971
5. Jumlah Pemilih (1+2+3+4+5) (LK),229174,381218,284615,425000,460705,594489,1000626,410550,886235,632849,289370,251068,415177,584703,702989,405749,496429,436298,283765,266939,356069,518805,459063,535272,455139,468902,399795,331368,424119,106104,53540,309133,81964,70531,46912,70345,1022633,74187,15221829
5. Jumlah Pemilih (1+2+3+4+5) (PR),236082,394287,283827,430720,462906,593008,1010948,432928,902962,643731,312218,274999,443644,604259,721051,412310,501252,441543,300780,288625,373698,525558,472158,551191,459684,494731,406545,351518,474627,108941,56115,320890,85851,73580,49345,76829,1063386,75086,15711813
5. Jumlah Pemilih (1+2+3+4+5) (JML),465256,775505,568442,855720,923611,1187497,2011574,843478,1789197,1276580,601588,526067,858821,1188962,1424040,818059,997681,877841,584545,555564,729767,1044363,931221,1086463,914823,963633,806340,682886,898746,215045,109655,630023,167815,144111,96257,147174,2086019,149273,30933642
1. Pengguna hak pilih dalam DPT (LK),152430,261385,196044,286056,334191,438954,683956,268838,549535,425712,207591,171346,263745,388431,472147,303961,337997,289434,199425,187020,236949,344896,300632,331200,312323,384699,316090,243592,263892,74866,39579,207622,58912,47618,34543,48545,629333,58412,10351901
1. Pengguna hak pilih dalam DPT (PR),164959,272995,213309,326786,352385,478665,726259,306252,635914,467232,241925,201250,310587,435424,525908,331261,379337,322807,221233,213169,268588,387841,346172,383392,350704,418304,327164,271727,318115,81324,43958,233803,67416,54537,39171,56064,710661,61411,11548009
1. Pengguna hak pilih dalam DPT (JML),317389,534380,409353,612842,686576,917619,1410215,575090,1185449,892944,449516,372596,574332,823855,998055,635222,717334,612241,420658,400189,505537,732737,646804,714592,663027,803003,643254,515319,582007,156190,83537,441425,126328,102155,73714,104609,1339994,119823,21899910
