NUSA TENGGARA BARAT,LOMBOK BARAT,LOMBOK TENGAH,LOMBOK TIMUR,SUMBAWA,DOMPU,BIMA,SUMBAWA BARAT,LOMBOK UTARA,KOTA MATARAM,KOTA BIMA,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),233714,353126,386177,162554,77928,174923,45194,78750,141913,50632,1704911
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),241314,370833,446034,168471,80204,180858,45696,80334,150306,53718,1817768
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),475028,723959,832211,331025,158132,355781,90890,159084,292219,104350,3522679
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),182,81,474,429,41,151,150,26,333,123,1990
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),242,63,397,297,19,59,72,26,332,49,1556
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),424,144,871,726,60,210,222,52,665,172,3546
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),261,327,3044,146,118,319,89,46,505,63,4918
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),342,500,1975,122,124,284,120,55,479,64,4065
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),603,827,5019,268,242,603,209,101,984,127,8983
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),2761,2164,6501,1166,940,1016,624,494,4321,711,20698
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),3838,3070,5761,1170,1104,1222,586,636,5373,893,23653
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),6599,5234,12262,2336,2044,2238,1210,1130,9694,1604,44351
5. Jumlah Pemilih (1+2+3+4+5) (LK),236918,355698,396196,164295,79027,176409,46057,79316,147072,51529,1732517
5. Jumlah Pemilih (1+2+3+4+5) (PR),245736,374466,454167,170060,81451,182423,46474,81051,156490,54724,1847042
5. Jumlah Pemilih (1+2+3+4+5) (JML),482654,730164,850363,334355,160478,358832,92531,160367,303562,106253,3579559
1. Pengguna hak pilih dalam DPT (LK),160880,225309,263829,120771,58112,110360,31889,58020,97316,36284,1162770
1. Pengguna hak pilih dalam DPT (PR),178966,265012,355781,123346,62062,124714,33262,61581,108776,41111,1354611
1. Pengguna hak pilih dalam DPT (JML),339846,490321,619610,244117,120174,235074,65151,119601,206092,77395,2517381
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),161,79,356,376,38,150,123,26,283,93,1685
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),207,62,307,253,19,59,60,25,287,40,1319
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),368,141,663,629,57,209,183,51,570,133,3004
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),148,169,2058,94,86,144,54,37,290,38,3118
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),184,252,1166,77,77,144,70,33,225,44,2272
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),332,421,3224,171,163,288,124,70,515,82,5390
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),2753,2159,6472,1162,940,1010,624,494,4309,707,20630
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),3831,3064,5740,1166,1104,1217,586,636,5357,891,23592
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),6584,5223,12212,2328,2044,2227,1210,1130,9666,1598,44222
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),163942,227716,272715,122403,59176,111664,32690,58577,102198,37122,1188203
