NUSA TENGGARA TIMUR,KUPANG,TIMOR TENGAH SELATAN,TIMOR TENGAH UTARA,BELU,ALOR,FLORES TIMUR,SIKKA,ENDE,NGADA,MANGGARAI,SUMBA TIMUR,SUMBA BARAT,LEMBATA,ROTE NDAO,MANGGARAI BARAT,NAGEKEO,SUMBA TENGAH,SUMBA BARAT DAYA,MANGGARAI TIMUR,SABU RAIJUA,KOTA KUPANG,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),100951,140084,77474,119396,58994,70849,92359,76645,42451,90825,78305,37442,31415,43421,71367,40573,21369,109241,83997,24838,132617,1544613
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),100444,149450,80702,128522,65349,84940,109478,92962,47105,99763,74254,36194,40988,43209,74460,45098,20370,105535,87415,23168,131102,1640508
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),201395,289534,158176,247918,124343,155789,201837,169607,89556,190588,152559,73636,72403,86630,145827,85671,41739,214776,171412,48006,263719,3185121
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),263,759,71,354,218,117,368,174,45,216,140,22,20,95,113,52,55,13,398,102,254,3849
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),141,329,26,195,115,70,357,81,26,118,110,9,25,32,64,30,33,21,282,61,284,2409
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),404,1088,97,549,333,187,725,255,71,334,250,31,45,127,177,82,88,34,680,163,538,6258
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),185,431,238,525,226,230,131,91,42,115,143,10,105,25,70,1,8,0,25,88,546,3235
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),179,346,220,517,278,228,140,92,41,121,132,4,99,21,82,3,6,0,28,99,477,3113
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),364,777,458,1042,504,458,271,183,83,236,275,14,204,46,152,4,14,0,53,187,1023,6348
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),954,1141,422,2538,997,1056,1098,1085,673,1122,999,264,587,253,551,610,110,303,363,176,5094,20396
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),1033,1085,396,2516,893,1061,1095,1157,627,1002,882,287,466,210,466,581,93,286,242,198,4733,19309
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),1987,2226,818,5054,1890,2117,2193,2242,1300,2124,1881,551,1053,463,1017,1191,203,589,605,374,9827,39705
5. Jumlah Pemilih (1+2+3+4+5) (LK),102353,142415,78205,122813,60435,72252,93956,77995,43211,92278,79587,37738,32127,43794,72101,41236,21542,109557,84783,25204,138511,1572093
5. Jumlah Pemilih (1+2+3+4+5) (PR),101797,151210,81344,131750,66635,86299,111070,94292,47799,101004,75378,36494,41578,43472,75072,45712,20502,105842,87967,23526,136596,1665339
5. Jumlah Pemilih (1+2+3+4+5) (JML),204150,293625,159549,254563,127070,158551,205026,172287,91010,193282,154965,74232,73705,87266,147173,86948,42044,215399,172750,48730,275107,3237432
1. Pengguna hak pilih dalam DPT (LK),74673,96666,51586,67417,46041,50466,60581,58171,30971,62124,53970,23301,23537,27965,54971,30736,15338,86120,55572,18040,83486,1071732
1. Pengguna hak pilih dalam DPT (PR),74446,103607,56761,77901,51711,61725,76677,71233,33775,67714,49037,22192,30529,28068,57087,33237,14056,83663,55969,17383,86136,1152907
1. Pengguna hak pilih dalam DPT (JML),149119,200273,108347,145318,97752,112191,137258,129404,64746,129838,103007,45493,54066,56033,112058,63973,29394,169783,111541,35423,169622,2224639
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),255,754,69,354,217,117,367,174,43,214,112,22,20,95,113,52,54,9,321,102,211,3675
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),139,323,26,195,113,70,357,81,26,115,89,9,25,32,62,30,32,16,188,59,244,2231
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),394,1077,95,549,330,187,724,255,69,329,201,31,45,127,175,82,86,25,509,161,455,5906
