SUMATERA UTARA,TAPANULI TENGAH,TAPANULI UTARA,TAPANULI SELATAN,NIAS,LANGKAT,KARO,DELI SERDANG,SIMALUNGUN,ASAHAN,LABUHANBATU,DAIRI,TOBA SAMOSIR,MANDAILING NATAL,NIAS SELATAN,PAKPAK BHARAT,HUMBANG HASUNDUTAN,SAMOSIR,SERDANG BEDAGAI,BATU BARA,PADANG LAWAS UTARA,PADANG LAWAS,LABUHANBATU SELATAN,LABUHANBATU UTARA,NIAS UTARA,NIAS BARAT,KOTA MEDAN,KOTA PEMATANGSIANTAR,KOTA SIBOLGA,KOTA TANJUNG BALAI,KOTA BINJAI,KOTA TEBING TINGGI,KOTA PADANG SIDIMPUAN,KOTA GUNUNGSITOLI,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),109530,102306,97209,42759,358151,134031,671121,316216,245190,151904,100691,62931,149969,127245,14925,60291,44441,225575,146435,78333,78697,97326,119900,42099,25655,861010,93107,30752,56152,89239,60302,69595,41294,4904381
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),110431,107742,100826,47222,355866,141415,674968,321280,244352,149106,103803,65791,157343,129886,15207,62909,46116,226740,146476,77776,80276,93775,116919,44387,28933,885821,99990,31343,55417,93403,62769,75119,45160,4998567
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),219961,210048,198035,89981,714017,275446,1346089,637496,489542,301010,204494,128722,307312,257131,30132,123200,90557,452315,292911,156109,158973,191101,236819,86486,54588,1746831,193097,62095,111569,182642,123071,144714,86454,9902948
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),69,194,113,41,240,89,1667,132,65,131,64,151,56,43,39,86,168,114,35,20,42,172,139,41,38,2414,320,78,115,85,75,70,150,7256
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),61,153,103,26,266,64,1962,118,62,109,51,128,55,23,35,77,110,84,28,17,60,140,70,24,48,2568,367,67,85,39,84,56,126,7266
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),130,347,216,67,506,153,3629,250,127,240,115,279,111,66,74,163,278,198,63,37,102,312,209,65,86,4982,687,145,200,124,159,126,276,14522
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),117,541,216,25,109,293,159,52,30,123,226,91,120,19,0,68,41,554,607,41,137,220,226,79,15,2134,88,12,43,139,29,363,46,6963
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),44,502,174,30,59,453,129,61,28,125,233,62,117,11,0,80,39,653,108,27,226,187,234,73,18,2221,92,12,31,102,24,183,14,6352
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),161,1043,390,55,168,746,288,113,58,248,459,153,237,30,0,148,80,1207,715,68,363,407,460,152,33,4355,180,24,74,241,53,546,60,13315
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),1563,1016,324,140,3561,1723,24530,3352,1881,1651,663,466,860,743,49,224,266,1311,764,247,225,1205,1849,74,132,38588,1132,437,417,2672,570,1424,368,94427
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),1698,1310,340,143,3915,2072,26349,3606,2089,1788,820,632,950,743,74,289,277,1368,889,242,263,1220,1829,66,154,43324,1473,437,443,3025,676,1776,399,104679
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),3261,2326,664,283,7476,3795,50879,6958,3970,3439,1483,1098,1810,1486,123,513,543,2679,1653,489,488,2425,3678,140,286,81912,2605,874,860,5697,1246,3200,767,199106
5. Jumlah Pemilih (1+2+3+4+5) (LK),111279,104057,97862,42965,362061,136136,697477,319752,247166,153809,101644,63639,151005,128050,15013,60669,44916,227554,147841,78641,79101,98923,122114,42293,25840,904146,94647,31279,56727,92135,60976,71452,41858,5013027
5. Jumlah Pemilih (1+2+3+4+5) (PR),112234,109707,101443,47421,360106,144004,703408,325065,246531,151128,104907,66613,158465,130663,15316,63355,46542,228845,147501,78062,80825,95322,119052,44550,29153,933934,101922,31859,55976,96569,63553,77134,45699,5116864
5. Jumlah Pemilih (1+2+3+4+5) (JML),223513,213764,199305,90386,722167,280140,1400885,644817,493697,304937,206551,130252,309470,258713,30329,124024,91458,456399,295342,156703,159926,194245,241166,86843,54993,1838080,196569,63138,112703,188704,124529,148586,87557,10129891
1. Pengguna hak pilih dalam DPT (LK),60972,62389,62691,29296,224640,79548,361169,200159,157249,96393,63167,41483,91250,97456,9394,41022,28750,144260,82307,58118,50165,69794,81128,25448,17670,439322,55686,16335,28896,55191,35723,42510,26960,2936541
1. Pengguna hak pilih dalam DPT (PR),68420,67332,70447,32727,245818,86117,385873,214982,172343,99053,67319,44991,105105,100266,9346,44467,30882,153557,91334,60332,55182,68313,83058,27172,20528,493778,64946,20049,33608,62814,40223,49602,30326,3200310
1. Pengguna hak pilih dalam DPT (JML),129392,129721,133138,62023,470458,165665,747042,415141,329592,195446,130486,86474,196355,197722,18740,85489,59632,297817,173641,118450,105347,138107,164186,52620,38198,933100,120632,36384,62504,118005,75946,92112,57286,6136851
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),68,173,106,40,236,89,1594,131,65,128,62,148,54,42,16,73,167,111,35,20,42,88,135,38,38,2386,259,72,94,76,75,58,147,6866
