KALIMANTAN BARAT,SAMBAS,PONTIANAK,SANGGAU,KETAPANG,SINTANG,KAPUAS HULU,BENGKAYANG,LANDAK,SEKADAU,MELAWI,KAYONG UTARA,KUBU RAYA,KOTA PONTIANAK,KOTA SINGKAWANG,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),209544,92156,162742,182406,148235,86956,86779,134930,74582,78075,38752,209022,207146,82425,1793750
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),203861,89965,151755,166468,140673,82607,79041,122663,70884,74255,36696,202428,209587,81644,1712527
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),413405,182121,314497,348874,288908,169563,165820,257593,145466,152330,75448,411450,416733,164069,3506277
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),408,498,479,530,570,292,109,97,120,109,112,504,1181,446,5455
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),196,279,275,294,368,152,52,86,78,68,58,373,1172,319,3770
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),604,777,754,824,938,444,161,183,198,177,170,877,2353,765,9225
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),56,172,60,548,57,194,90,77,23,19,7,105,246,54,1708
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),45,76,43,415,40,209,50,83,23,20,6,82,218,35,1345
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),101,248,103,963,97,403,140,160,46,39,13,187,464,89,3053
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),893,840,2345,3045,2107,688,1294,770,436,556,190,2701,5163,1052,22080
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),908,785,1903,2109,1909,669,1152,633,380,426,159,2828,5240,1116,20217
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),1801,1625,4248,5154,4016,1357,2446,1403,816,982,349,5529,10403,2168,42297
5. Jumlah Pemilih (1+2+3+4+5) (LK),210901,93666,165626,186529,150969,88130,88272,135874,75161,78759,39061,212332,213736,83977,1822993
5. Jumlah Pemilih (1+2+3+4+5) (PR),205010,91105,153976,169286,142990,83637,80295,123465,71365,74769,36919,205711,216217,83114,1737859
5. Jumlah Pemilih (1+2+3+4+5) (JML),415911,184771,319602,355815,293959,171767,168567,259339,146526,153528,75980,418043,429953,167091,3560852
1. Pengguna hak pilih dalam DPT (LK),123790,60334,131960,122666,122042,66474,62329,122195,59002,71848,23210,134746,144356,45927,1290879
1. Pengguna hak pilih dalam DPT (PR),143497,61479,123611,114829,116044,65979,58130,110831,55881,68372,23675,136703,153428,46642,1279101
1. Pengguna hak pilih dalam DPT (JML),267287,121813,255571,237495,238086,132453,120459,233026,114883,140220,46885,271449,297784,92569,2569980
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),346,275,479,528,537,274,108,97,95,109,98,454,1161,423,4984
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),168,146,275,293,344,146,52,86,65,67,54,334,1146,301,3477
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),514,421,754,821,881,420,160,183,160,176,152,788,2307,724,8461
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),28,134,48,233,13,71,36,15,14,5,0,52,147,30,826
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),21,40,37,150,8,73,15,17,10,6,3,48,109,19,556
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),49,174,85,383,21,144,51,32,24,11,3,100,256,49,1382
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),893,837,2336,3008,2085,684,1294,770,434,554,189,2671,5163,1051,21969
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),908,782,1894,2096,1905,661,1152,633,380,424,159,2799,5240,1108,20141
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),1801,1619,4230,5104,3990,1345,2446,1403,814,978,348,5470,10403,2159,42110
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),125057,61580,134823,126435,124677,67503,63767,123077,59545,72516,23497,137923,150827,47431,1318658
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),144594,62447,125817,117368,118301,66859,59349,111567,56336,68869,23891,139884,159923,48070,1303275
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),269651,124027,260640,243803,242978,134362,123116,234644,115881,141385,47388,277807,310750,95501,2621933
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),422045,186069,321651,356345,295312,173405,169306,263204,148637,155731,77087,419379,425608,167549,3581328
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,141,82,129,125,117,58,152,139,35,89,22,160,334,48,1631
Jumlah surat suara yang tidak digunakan,152253,61960,60882,112417,52217,38985,46038,28421,32721,14257,29677,141412,114524,72000,957764
Jumlah surat suara digunakan,269651,124027,260640,243803,242978,134362,123116,234644,115881,141385,47388,277807,310750,95501,2621933
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,267822,123342,258892,242034,241494,133550,122152,233233,115309,140587,46972,276289,308929,94795,2605400
Jumlah Suara tidak sah,1829,685,1748,1769,1484,812,964,1411,572,798,416,1518,1821,706,16533
Jumlah suara sah dan tidak sah,269651,124027,260640,243803,242978,134362,123116,234644,115881,141385,47388,277807,310750,95501,2621933
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,155003,49847,191220,150144,170639,88208,91426,195610,84313,81234,20669,112866,126277,55590,1573046
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,267822,123342,258892,242034,241494,133550,122152,233233,115309,140587,46972,276289,308929,94795,2605400
