KALIMANTAN TIMUR,PASER,KUTAI KARTANEGARA,BERAU,BULUNGAN,NUNUKAN,MALINAU,KUTAI BARAT,KUTAI TIMUR,PENAJAM PASER UTARA,TANA TIDUNG,KOTA BALIKPAPAN,KOTA SAMARINDA,KOTA TARAKAN,KOTA BONTANG,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),94622,277511,86523,46007,72347,27686,77214,157435,62398,9805,213493,298472,71803,63257,1558573
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),85163,240146,69233,39782,61071,23357,63748,119733,55891,7235,205454,273849,66627,55468,1366757
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),179785,517657,155756,85789,133418,51043,140962,277168,118289,17040,418947,572321,138430,118725,2925330
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),297,1112,463,277,420,233,457,758,124,24,1105,1238,554,392,7454
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),224,317,209,186,242,141,220,320,107,14,784,769,442,189,4164
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),521,1429,672,463,662,374,677,1078,231,38,1889,2007,996,581,11618
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),585,115,135,96,650,29,97,151,27,0,1287,56,586,24,3838
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),354,107,48,66,236,9,49,58,30,0,1124,51,217,15,2364
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),939,222,183,162,886,38,146,209,57,0,2411,107,803,39,6202
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),2522,5018,3567,1037,1735,1024,1987,5916,960,248,8792,5587,3614,2835,44842
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),1810,3946,2478,790,1225,672,1158,3567,931,163,8181,4918,3239,2335,35413
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),4332,8964,6045,1827,2960,1696,3145,9483,1891,411,16973,10505,6853,5170,80255
5. Jumlah Pemilih (1+2+3+4+5) (LK),98026,283756,90688,47417,75152,28972,79755,164260,63509,10077,224677,305353,76557,66508,1614707
5. Jumlah Pemilih (1+2+3+4+5) (PR),87551,244516,71968,40824,62774,24179,65175,123678,56959,7412,215543,279587,70525,58007,1408698
5. Jumlah Pemilih (1+2+3+4+5) (JML),185577,528272,162656,88241,137926,53151,144930,287938,120468,17489,440220,584940,147082,124515,3023405
1. Pengguna hak pilih dalam DPT (LK),57391,163087,48085,27040,38164,17761,49846,76004,36141,4818,136874,180376,42666,39409,917662
1. Pengguna hak pilih dalam DPT (PR),54259,154459,42132,25612,35775,15037,43522,60945,35915,3695,146936,183070,43697,38227,883281
