SULAWESI UTARA,BOLAANG MONGONDOW,MINAHASA,KEPULAUAN SANGIHE,KEPULAUAN TALAUD,MINAHASA SELATAN,MINAHASA UTARA,MINAHASA TENGGARA,BOLAANG MONGONDOW UTARA,KEP. SIAU TAGULANDANG BIARO,BOLAANG MONGONDOW TIMUR,BOLAANG MONGONDOW SELATAN,KOTA MANADO,KOTA BITUNG,KOTA TOMOHON,KOTA KOTAMOBAGU,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),87721,136579,54302,34644,87469,77332,42275,28579,26861,27299,22632,174485,77262,35695,45281,958416
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),80837,133045,53434,33719,81375,75535,39350,27115,27311,24991,20609,177598,75346,35186,44108,929559
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),168558,269624,107736,68363,168844,152867,81625,55694,54172,52290,43241,352083,152608,70881,89389,1887975
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),22,157,168,9,97,151,24,13,89,46,30,713,239,166,250,2174
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),24,164,144,13,67,117,17,16,77,27,25,615,181,168,107,1762
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),46,321,312,22,164,268,41,29,166,73,55,1328,420,334,357,3936
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),277,227,62,133,49,318,23,56,24,113,15,656,255,40,34,2282
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),313,235,56,74,35,350,35,72,31,96,15,378,196,41,7,1934
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),590,462,118,207,84,668,58,128,55,209,30,1034,451,81,41,4216
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),666,1800,270,763,390,2972,67,74,334,449,141,8821,1222,510,502,18981
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),667,1833,241,714,420,2776,68,89,261,414,128,9277,1285,536,537,19246
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),1333,3633,511,1477,810,5748,135,163,595,863,269,18098,2507,1046,1039,38227
5. Jumlah Pemilih (1+2+3+4+5) (LK),88686,138763,54802,35549,88005,80773,42389,28722,27308,27907,22818,184675,78978,36411,46067,981853
5. Jumlah Pemilih (1+2+3+4+5) (PR),81841,135277,53875,34520,81897,78778,39470,27292,27680,25528,20777,187868,77008,35931,44759,952501
5. Jumlah Pemilih (1+2+3+4+5) (JML),170527,274040,108677,70069,169902,159551,81859,56014,54988,53435,43595,372543,155986,72342,90826,1934354
1. Pengguna hak pilih dalam DPT (LK),58482,97760,36458,24508,61337,54102,32830,19686,19886,18561,17430,102168,47763,27883,28517,647371
1. Pengguna hak pilih dalam DPT (PR),57868,97456,38117,25212,59079,56305,31429,20482,21340,17351,16528,107708,52021,28454,28984,658334
1. Pengguna hak pilih dalam DPT (JML),116350,195216,74575,49720,120416,110407,64259,40168,41226,35912,33958,209876,99784,56337,57501,1305705
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),22,156,166,9,96,126,24,11,86,44,30,702,220,165,223,2080
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),23,161,140,13,65,83,17,14,74,26,25,601,172,167,99,1680
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),45,317,306,22,161,209,41,25,160,70,55,1303,392,332,322,3760
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),160,128,49,70,34,108,11,26,17,47,13,464,126,30,27,1310
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),152,141,41,52,26,130,20,36,26,41,13,214,117,31,2,1042
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),312,269,90,122,60,238,31,62,43,88,26,678,243,61,29,2352
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),666,1797,267,761,390,2911,67,74,334,448,141,8802,1222,499,502,18881
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),667,1830,240,714,420,2735,68,89,261,413,128,9258,1285,525,537,19170
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),1333,3627,507,1475,810,5646,135,163,595,861,269,18060,2507,1024,1039,38051
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),59330,99841,36940,25348,61857,57247,32932,19797,20323,19100,17614,112136,49331,28577,29269,669642
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),58710,99588,38538,25991,59590,59253,31534,20621,21701,17831,16694,117781,53595,29177,29622,680226
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),118040,199429,75478,51339,121447,116500,64466,40418,42024,36931,34308,229917,102926,57754,58891,1349868
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),172409,275415,110064,69751,172432,156186,83294,56833,55426,53420,44096,359229,155715,72358,91270,1927898
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,22,39,16,23,28,33,9,3,12,7,3,64,38,12,4,313
Jumlah surat suara yang tidak digunakan,54347,75947,34570,18389,50957,39653,18819,16412,13390,16482,9785,129248,52751,14592,32375,577717
Jumlah surat suara digunakan,118040,199429,75478,51339,121447,116500,64466,40418,42024,36931,34308,229917,102926,57754,58891,1349868
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,117646,198567,75123,51194,121114,115980,64307,40184,41891,36787,34119,228980,102456,57538,58762,1344648
Jumlah Suara tidak sah,394,862,355,145,333,520,159,234,133,144,189,937,470,216,129,5220
Jumlah suara sah dan tidak sah,118040,199429,75478,51339,121447,116500,64466,40418,42024,36931,34308,229917,102926,57754,58891,1349868
H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,73276,85418,28218,11232,53606,55360,32870,22172,12814,22923,19624,94408,41634,26137,40403,620095
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,44370,113149,46905,39962,67508,60620,31437,18012,29077,13864,14495,134572,60822,31401,18359,724553
