SULAWESI TENGAH,BANGGAI,POSO,DONGGALA,TOLITOLI,BUOL,MOROWALI,BANGGAI KEPULAUAN,PARIGI MOUTONG,TOJO UNA-UNA,SIGI,KOTA PALU,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),126728,75565,100972,80914,48220,80168,60955,152644,51204,84788,123450,985608
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),123643,72291,95687,77464,45389,76050,59689,145044,48140,82019,124622,950038
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),250371,147856,196659,158378,93609,156218,120644,297688,99344,166807,248072,1935646
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),1224,415,170,221,28,674,182,553,230,108,776,4581
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),406,268,54,216,8,223,117,303,148,61,589,2393
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),1630,683,224,437,36,897,299,856,378,169,1365,6974
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),72,334,124,271,68,356,131,176,99,345,596,2572
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),69,344,128,320,73,192,152,140,80,311,681,2490
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),141,678,252,591,141,548,283,316,179,656,1277,5062
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),2948,1222,528,2174,574,920,503,1459,642,1627,6515,19112
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),2483,1283,418,2003,569,681,457,1303,623,1626,6895,18341
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5431,2505,946,4177,1143,1601,960,2762,1265,3253,13410,37453
5. Jumlah Pemilih (1+2+3+4+5) (LK),130972,77536,101794,83580,48890,82118,61771,154832,52175,86868,131337,1011873
5. Jumlah Pemilih (1+2+3+4+5) (PR),126601,74186,96287,80003,46039,77146,60415,146790,48991,84017,132787,973262
5. Jumlah Pemilih (1+2+3+4+5) (JML),257573,151722,198081,163583,94929,159264,122186,301622,101166,170885,264124,1985135
1. Pengguna hak pilih dalam DPT (LK),86233,57542,70019,50654,33346,57242,46393,106266,37188,61699,75913,682495
1. Pengguna hak pilih dalam DPT (PR),86460,56448,68504,49767,33369,55724,47278,103254,36354,59882,81851,678891
1. Pengguna hak pilih dalam DPT (JML),172693,113990,138523,100421,66715,112966,93671,209520,73542,121581,157764,1361386
