SULAWESI SELATAN,KEPULAUAN SELAYAR,BULUKUMBA,BANTAENG,JENEPONTO,TAKALAR,GOWA,SINJAI,BONE,MAROS,PANGKAJENE DAN KEPULAUAN,BARRU,SOPPENG,WAJO,SIDENRENG RAPPANG,PINRANG,ENREKANG,LUWU,TANA TORAJA,LUWU UTARA,LUWU TIMUR,TORAJA UTARA,KOTA MAKASSAR,KOTA PARE PARE,KOTA PALOPO,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),43488,160541,64462,140460,97951,246231,84830,263224,119333,114384,62988,85685,151570,108455,133102,76765,130286,80662,111558,98161,93150,492251,47931,57626,3065094
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),48397,174922,70138,151167,109405,262771,90816,296499,130183,125838,68764,97008,169298,116448,143680,74268,131873,79300,110354,93033,89723,513195,51284,60253,3258617
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),91885,335463,134600,291627,207356,509002,175646,559723,249516,240222,131752,182693,320868,224903,276782,151033,262159,159962,221912,191194,182873,1005446,99215,117879,6323711
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),78,161,126,104,97,348,151,636,133,165,203,164,286,75,68,68,139,252,164,474,159,2251,170,254,6726
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),49,92,99,57,93,363,79,420,159,86,109,123,137,46,64,78,122,185,51,357,124,1762,148,154,4957
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),127,253,225,161,190,711,230,1056,292,251,312,287,423,121,132,146,261,437,215,831,283,4013,318,408,11683
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),28,60,68,0,27,141,0,263,93,57,52,22,229,42,4,44,122,15,0,57,80,1498,70,171,3143
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),25,56,64,0,22,96,0,288,136,40,66,26,223,38,2,24,128,11,0,68,82,1481,62,166,3104
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),53,116,132,0,49,237,0,551,229,97,118,48,452,80,6,68,250,26,0,125,162,2979,132,337,6247
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),153,755,250,1248,765,5196,361,2659,1524,497,356,180,1050,657,1250,214,435,594,569,665,610,18995,598,588,40169
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),172,871,230,1562,882,5841,359,2785,1953,486,392,171,1104,628,1413,252,456,568,527,543,670,21874,650,638,45027
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),325,1626,480,2810,1647,11037,720,5444,3477,983,748,351,2154,1285,2663,466,891,1162,1096,1208,1280,40869,1248,1226,85196
5. Jumlah Pemilih (1+2+3+4+5) (LK),43747,161517,64906,141812,98840,251916,85342,266782,121083,115103,63599,86051,153135,109229,134424,77091,130982,81523,112291,99357,93999,514995,48769,58639,3115132
5. Jumlah Pemilih (1+2+3+4+5) (PR),48643,175941,70531,152786,110402,269071,91254,299992,132431,126450,69331,97328,170762,117160,145159,74622,132579,80064,110932,94001,90599,538312,52144,61211,3311705
5. Jumlah Pemilih (1+2+3+4+5) (JML),92390,337458,135437,294598,209242,520987,176596,566774,253514,241553,132930,183379,323897,226389,279583,151713,263561,161587,223223,193358,184598,1053307,100913,119850,6426837
1. Pengguna hak pilih dalam DPT (LK),29208,89701,39015,74977,65911,168904,53612,176799,79242,74180,41405,58391,95464,72283,84149,49826,91612,53010,73987,62846,59851,273734,31129,33755,1932991
1. Pengguna hak pilih dalam DPT (PR),35722,110639,47446,94163,82888,194405,62738,212523,91562,88903,50860,70709,112570,84428,100664,52374,100574,53704,78200,63241,61396,317834,36783,38894,2243220
1. Pengguna hak pilih dalam DPT (JML),64930,200340,86461,169140,148799,363309,116350,389322,170804,163083,92265,129100,208034,156711,184813,102200,192186,106714,152187,126087,121247,591568,67912,72649,4176211
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),71,157,121,89,42,333,151,635,117,165,193,160,286,71,68,68,139,252,155,375,153,1770,169,247,5987
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),45,89,94,29,36,341,79,416,136,86,109,123,137,43,64,78,122,185,49,290,119,1519,148,149,4486
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),116,246,215,118,78,674,230,1051,253,251,302,283,423,114,132,146,261,437,204,665,272,3289,317,396,10473
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),17,20,37,0,14,14,0,153,49,45,36,12,99,26,2,22,56,10,0,26,53,505,39,86,1321
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),15,14,38,0,13,13,0,174,65,20,44,19,104,27,2,13,61,6,0,30,61,571,33,91,1414
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),32,34,75,0,27,27,0,327,114,65,80,31,203,53,4,35,117,16,0,56,114,1076,72,177,2735
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),153,755,250,1248,765,5196,361,2659,1524,497,356,180,1050,657,1250,214,435,594,569,665,610,18995,598,588,40169
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),172,871,230,1562,882,5841,359,2785,1953,486,392,171,1104,628,1413,252,456,568,527,543,670,21874,650,638,45027
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),325,1626,480,2810,1647,11037,720,5444,3477,983,748,351,2154,1285,2663,466,891,1162,1096,1208,1280,40869,1248,1226,85196
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),29449,90633,39423,76314,66732,174447,54124,180246,80932,74887,41990,58743,96899,73037,85469,50130,92242,53866,74711,63912,60667,295004,31935,34676,1980468
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),35954,111613,47808,95754,83819,200600,63176,215898,93716,89495,51405,71022,113915,85126,102143,52717,101213,54463,78776,64104,62246,341798,37614,39772,2294147
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),65403,202246,87231,172068,150551,375047,117300,396144,174648,164382,93395,129765,210814,158163,187612,102847,193455,108329,153487,128016,122913,636802,69549,74448,4274615
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),93859,342118,137597,297684,211364,519884,179314,572852,254768,245713,134291,186586,327641,229864,282884,154117,268044,163366,226703,195149,186661,1025423,101309,120338,6457529
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,19,22,33,25,49,150,36,181,57,99,38,116,150,84,79,49,88,17,70,42,88,818,40,29,2379
Jumlah surat suara yang tidak digunakan,28437,139850,50333,125591,60764,144687,61978,176527,80063,81232,40858,56705,116677,71617,95193,51221,74501,55020,73146,67091,63660,387803,31720,45861,2180535
