SULAWESI TENGGARA,KOLAKA,KONAWE,MUNA,BUTON,KONAWE SELATAN,BOMBANA,WAKATOBI,KOLAKA UTARA,KONAWE UTARA,BUTON UTARA,KOTA KENDARI,KOTA BAU BAU,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),125604,96834,105725,102578,99216,54322,40082,54949,23037,21710,123077,56044,903178
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),119641,94165,115686,102967,96182,53122,40793,51822,20990,21361,120603,58222,895554
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),245245,190999,221411,205545,195398,107444,80875,106771,44027,43071,243680,114266,1798732
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),258,351,182,47,94,100,112,78,98,83,402,295,2100
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),141,92,39,33,41,56,100,52,90,79,220,253,1196
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),399,443,221,80,135,156,212,130,188,162,622,548,3296
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),103,33,15,227,1,37,22,28,0,125,234,16,841
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),92,22,14,292,1,40,27,35,0,110,176,23,832
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),195,55,29,519,2,77,49,63,0,235,410,39,1673
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),1770,619,1362,712,683,525,604,676,63,461,3836,717,12028
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),1569,565,1592,674,636,522,488,659,40,285,3690,634,11354
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),3339,1184,2954,1386,1319,1047,1092,1335,103,746,7526,1351,23382
5. Jumlah Pemilih (1+2+3+4+5) (LK),127735,97837,107284,103564,99994,54984,40820,55731,23198,22379,127549,57072,918147
5. Jumlah Pemilih (1+2+3+4+5) (PR),121443,94844,117331,103966,96860,53740,41408,52568,21120,21835,124689,59132,908936
5. Jumlah Pemilih (1+2+3+4+5) (JML),249178,192681,224615,207530,196854,108724,82228,108299,44318,44214,252238,116204,1827083
1. Pengguna hak pilih dalam DPT (LK),77604,68226,51583,55017,67966,31895,19389,35052,16634,13178,71412,30199,538155
1. Pengguna hak pilih dalam DPT (PR),76617,67892,62079,68094,68376,33730,25559,33258,15794,14221,74398,34457,574475
1. Pengguna hak pilih dalam DPT (JML),154221,136118,113662,123111,136342,65625,44948,68310,32428,27399,145810,64656,1112630
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),258,347,176,46,94,100,106,78,98,66,348,258,1975
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),141,91,37,31,41,56,96,52,90,66,191,209,1101
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),399,438,213,77,135,156,202,130,188,132,539,467,3076
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),56,11,4,96,0,16,11,13,0,28,110,9,354
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),42,7,6,118,0,15,14,17,0,25,65,13,322
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),98,18,10,214,0,31,25,30,0,53,175,22,676
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),1769,619,1359,711,675,525,601,676,63,453,3822,716,11989
