GORONTALO,GORONTALO,BOALEMO,BONE BOLANGO,PAHUWATO,GORONTALO UTARA,KOTA GORONTALO,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),138133,49164,52788,48497,41612,65660,395854
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),139900,47987,53269,47249,40725,69466,398596
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),278033,97151,106057,95746,82337,135126,794450
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),359,77,97,73,362,320,1288
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),309,50,85,45,213,269,971
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),668,127,182,118,575,589,2259
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),64,29,22,15,75,80,285
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),83,25,3,12,62,67,252
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),147,54,25,27,137,147,537
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),776,292,196,678,128,1166,3236
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),733,278,194,578,160,1040,2983
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),1509,570,390,1256,288,2206,6219
5. Jumlah Pemilih (1+2+3+4+5) (LK),139332,49562,53103,49263,42177,67226,400663
5. Jumlah Pemilih (1+2+3+4+5) (PR),141025,48340,53551,47884,41160,70842,402802
5. Jumlah Pemilih (1+2+3+4+5) (JML),280357,97902,106654,97147,83337,138068,803465
1. Pengguna hak pilih dalam DPT (LK),99641,37942,41199,33755,29500,45956,287993
1. Pengguna hak pilih dalam DPT (PR),106490,38125,44339,35263,30344,52140,306701
1. Pengguna hak pilih dalam DPT (JML),206131,76067,85538,69018,59844,98096,594694
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),354,75,97,73,359,305,1263
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),307,46,85,45,211,252,946
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),661,121,182,118,570,557,2209
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),45,16,14,5,51,53,184
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),55,13,1,6,31,43,149
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),100,29,15,11,82,96,333
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),772,292,195,678,128,1165,3230
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),733,278,194,578,160,1039,2982
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),1505,570,389,1256,288,2204,6212
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),100812,38325,41505,34511,30038,47479,292670
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),107585,38462,44619,35892,30746,53474,310778
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),208397,76787,86124,70403,60784,100953,603448
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),283901,99249,108320,97918,84105,138109,811602
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,68,19,14,32,18,39,190
Jumlah surat suara yang tidak digunakan,75436,22443,22182,27483,23303,37117,207964
Jumlah surat suara digunakan,208397,76787,86124,70403,60784,100953,603448
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,207323,76308,85669,70069,60430,100433,600232
Jumlah Suara tidak sah,1074,479,455,334,354,520,3216
Jumlah suara sah dan tidak sah,208397,76787,86124,70403,60784,100953,603448
H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,140134,43129,54995,37943,40269,62265,378735
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,67189,33179,30674,32126,20161,38168,221497
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,207323,76308,85669,70069,60430,100433,600232
