SULAWESI BARAT,MAMUJU UTARA,MAMUJU,MAMASA,POLEWALI MANDAR,MAJENE,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),54890,128026,61061,148889,52346,445212
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),49287,121145,59188,157337,55408,442365
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),104177,249171,120249,306226,107754,887577
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),159,309,214,259,129,1070
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),87,168,129,154,90,628
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),246,477,343,413,219,1698
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),182,265,35,462,38,982
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),166,234,20,430,14,864
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),348,499,55,892,52,1846
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),1069,2559,310,1431,341,5710
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),832,2177,243,1609,369,5230
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),1901,4736,553,3040,710,10940
5. Jumlah Pemilih (1+2+3+4+5) (LK),56300,131159,61620,151041,52854,452974
5. Jumlah Pemilih (1+2+3+4+5) (PR),50372,123724,59580,159530,55881,449087
5. Jumlah Pemilih (1+2+3+4+5) (JML),106672,254883,121200,310571,108735,902061
1. Pengguna hak pilih dalam DPT (LK),34731,89438,43629,93245,37056,298099
1. Pengguna hak pilih dalam DPT (PR),30997,86742,43143,108088,44465,313435
1. Pengguna hak pilih dalam DPT (JML),65728,176180,86772,201333,81521,611534
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),147,306,213,259,112,1037
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),79,162,129,154,79,603
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),226,468,342,413,191,1640
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),108,126,15,191,30,470
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),99,99,9,215,8,430
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),207,225,24,406,38,900
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),1069,2528,310,1426,341,5674
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),832,2149,243,1602,369,5195
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),1901,4677,553,3028,710,10869
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),36055,92398,44167,95121,37539,305280
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),32007,89152,43524,110059,44921,319663
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),68062,181550,87691,205180,82460,624943
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),106322,254603,122654,312482,110167,906228
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,25,436,63,208,44,776
Jumlah surat suara yang tidak digunakan,38235,72617,34900,107094,27663,280509
Jumlah surat suara digunakan,68062,181550,87691,205180,82460,624943
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,67742,180577,87366,203806,82024,621515
Jumlah Suara tidak sah,320,973,325,1374,436,3428
Jumlah suara sah dan tidak sah,68062,181550,87691,205180,82460,624943
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,50833,138250,67656,136429,62853,456021
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,67742,180577,87366,203806,82024,621515
