MALUKU,MALUKU TENGAH,MALUKU TENGGARA,MALUKU TENGGARA BARAT,BURU,SERAM BAGIAN TIMUR,SERAM BAGIAN BARAT,KEPULAUAN ARU,MALUKU BARAT DAYA,BURU SELATAN,KOTA AMBON,KOTA TUAL,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),145912,32641,34346,44701,44321,69381,31105,24071,25239,128459,21408,601584
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),148513,36293,36152,43400,43352,69912,29213,23712,24610,137288,22267,614712
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),294425,68934,70498,88101,87673,139293,60318,47783,49849,265747,43675,1216296
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),333,38,41,190,15,15,3,55,57,420,47,1214
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),311,41,44,98,3,14,0,14,35,320,64,944
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),644,79,85,288,18,29,3,69,92,740,111,2158
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),61,109,67,16,0,3,46,25,164,678,21,1190
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),75,54,107,14,0,1,47,22,146,836,24,1326
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),136,163,174,30,0,4,93,47,310,1514,45,2516
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),1839,379,909,911,375,152,339,226,196,2078,739,8143
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),2254,490,821,888,299,183,372,184,117,2508,838,8954
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),4093,869,1730,1799,674,335,711,410,313,4586,1577,17097
5. Jumlah Pemilih (1+2+3+4+5) (LK),148145,33167,35363,45818,44711,69551,31493,24377,25656,131635,22215,612131
5. Jumlah Pemilih (1+2+3+4+5) (PR),151153,36878,37124,44400,43654,70110,29632,23932,24908,140952,23193,625936
5. Jumlah Pemilih (1+2+3+4+5) (JML),299298,70045,72487,90218,88365,139661,61125,48309,50564,272587,45408,1238067
1. Pengguna hak pilih dalam DPT (LK),97670,23607,21935,33444,37507,48465,20589,17561,23005,79641,14674,418098
1. Pengguna hak pilih dalam DPT (PR),102102,27486,23846,32948,37106,50133,20387,18178,22409,91928,16382,442905
1. Pengguna hak pilih dalam DPT (JML),199772,51093,45781,66392,74613,98598,40976,35739,45414,171569,31056,861003
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),333,33,41,89,15,15,3,55,57,397,47,1085
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),311,29,44,30,3,14,0,14,32,292,64,833
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),644,62,85,119,18,29,3,69,89,689,111,1918
