MALUKU UTARA,HALMAHERA BARAT,HALMAHERA TENGAH,HALMAHERA UTARA,HALMAHERA SELATAN,KEPULAUAN SULA,HALMAHERA TIMUR,PULAU MOROTAI,KOTA TERNATE,KOTA TIDORE KEPULAUAN,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),38017,17910,66755,82888,50646,34451,23716,76140,36219,426742
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),37286,16430,64525,78919,50005,30571,21800,77667,36308,413511
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),75303,34340,131280,161807,100651,65022,45516,153807,72527,840253
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),33,21,190,71,139,76,52,260,167,1009
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),55,9,168,53,116,41,68,176,81,767
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),88,30,358,124,255,117,120,436,248,1776
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),36,38,138,76,227,72,147,182,105,1021
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),31,41,142,78,214,77,140,26,77,826
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),67,79,280,154,441,149,287,208,182,1847
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),414,442,1175,1227,1180,784,350,2313,442,8327
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),364,299,1187,809,1326,679,283,2154,413,7514
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),778,741,2362,2036,2506,1463,633,4467,855,15841
5. Jumlah Pemilih (1+2+3+4+5) (LK),38500,18411,68258,84262,52192,35383,24265,78895,36933,437099
5. Jumlah Pemilih (1+2+3+4+5) (PR),37736,16779,66022,79859,51661,31368,22291,80023,36879,422618
5. Jumlah Pemilih (1+2+3+4+5) (JML),76236,35190,134280,164121,103853,66751,46556,158918,73812,859717
1. Pengguna hak pilih dalam DPT (LK),27479,12828,42617,55544,32957,21072,18302,37920,24331,273050
1. Pengguna hak pilih dalam DPT (PR),26959,12113,41874,55063,33960,19530,17020,41490,26362,274371
1. Pengguna hak pilih dalam DPT (JML),54438,24941,84491,110607,66917,40602,35322,79410,50693,547421
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),30,21,187,66,125,76,43,260,167,975
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),54,9,167,49,104,41,47,176,81,728
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),84,30,354,115,229,117,90,436,248,1703
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),16,30,123,49,121,41,104,131,51,666
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),17,28,124,32,118,46,92,20,46,523
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),33,58,247,81,239,87,196,151,97,1189
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),414,441,1167,1227,1174,771,350,2313,437,8294
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),364,296,1183,809,1193,670,283,2154,411,7363
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),778,737,2350,2036,2367,1441,633,4467,848,15657
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),27939,13320,44094,56886,34377,21960,18799,40624,24986,282985
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),27394,12446,43348,55953,35375,20287,17442,43840,26900,282985
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),55333,25766,87442,112839,69752,42247,36241,84464,51886,565970
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),76789,35020,133938,164985,102696,73976,46736,157095,66314,857549
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,13,0,18,40,16,27,24,138,4,280
Jumlah surat suara yang tidak digunakan,21443,9254,46478,52106,32928,24040,10471,72493,22086,291299
Jumlah surat suara digunakan,55333,25766,87442,112839,69752,42247,36241,84464,51886,565970
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,55099,25648,87111,112268,69479,42016,36105,84156,51511,563393
Jumlah Suara tidak sah,234,118,331,571,273,231,136,308,375,2577
Jumlah suara sah dan tidak sah,55333,25766,87442,112839,69752,42247,36241,84464,51886,565970
H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,26309,12507,37923,64072,37701,21864,24702,54043,27671,306792
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,28790,13141,49188,48196,31778,20152,11403,30113,23840,256601
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,55099,25648,87111,112268,69479,42016,36105,84156,51511,563393
