PAPUA,MERAUKE,JAYAWIJAYA,JAYAPURA,NABIRE,KEPULAUAN YAPEN,BIAK NUMFOR,PUNCAK JAYA,PANIAI,MIMIKA,SARMI,KEEROM,PEGUNUNGAN BINTANG,YAHUKIMO,TOLIKARA,WAROPEN,BOVEN DIGOEL,MAPPI,ASMAT,SUPIORI,MAMBERAMO RAYA,MAMBERAMO TENGAH,YALIMO,LANNY JAYA,NDUGA,PUNCAK,DOGIYAI,INTAN JAYA,DEIYAI,KOTA JAYAPURA,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),77451,110397,64463,76409,46609,46572,87444,46521,130201,14757,25607,49948,143076,99756,12759,23830,33668,38715,6880,12037,15636,36305,80109,77027,81088,55905,36484,24270,188218,1742142
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),70405,101352,54763,64610,42764,46396,78475,44111,92520,11891,21163,39734,120907,77628,11841,16874,29789,33230,6475,9925,13799,31558,65341,69757,76081,51653,33465,23335,155426,1495268
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),147856,211749,119226,141019,89373,92968,165919,90632,222721,26648,46770,89682,263983,177384,24600,40704,63457,71945,13355,21962,29435,67863,145450,146784,157169,107558,69949,47605,343644,3237410
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),185,0,40,0,0,228,0,0,36,15,18,0,0,0,0,76,15,105,0,7,0,0,0,0,0,0,0,0,489,1214
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),162,0,35,0,0,119,0,0,35,9,15,0,0,0,0,41,8,69,0,13,0,0,0,0,0,0,0,0,540,1046
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),347,0,75,0,0,347,0,0,71,24,33,0,0,0,0,117,23,174,0,20,0,0,0,0,0,0,0,0,1029,2260
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),198,0,0,0,0,500,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,1043
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),211,0,0,0,0,384,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,854
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),409,0,0,0,0,884,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,1897
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),2288,0,357,0,591,1629,0,0,185,45,271,0,0,0,146,1106,721,917,148,465,140,0,0,0,0,0,0,0,6029,15038
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),2133,0,245,0,511,1695,0,0,99,43,253,0,0,0,139,789,601,639,146,319,80,0,0,0,0,0,0,0,5664,13356
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),4421,0,602,0,1102,3324,0,0,284,88,524,0,0,0,285,1895,1322,1556,294,784,220,0,0,0,0,0,0,0,11693,28394
5. Jumlah Pemilih (1+2+3+4+5) (LK),80122,110397,64860,76409,47200,48929,87444,46521,130422,14817,25966,49948,143076,99756,12905,25012,34404,39737,7028,12509,15776,36305,80109,77027,81088,55905,36484,24270,195011,1759437
5. Jumlah Pemilih (1+2+3+4+5) (PR),72911,101352,55043,64610,43275,48594,78475,44111,92654,11943,21479,39734,120907,77628,11980,17704,30398,33938,6621,10257,13879,31558,65341,69757,76081,51653,33465,23335,161841,1510524
5. Jumlah Pemilih (1+2+3+4+5) (JML),153033,211749,119903,141019,90475,97523,165919,90632,223076,26760,47445,89682,263983,177384,24885,42716,64802,73675,13649,22766,29655,67863,145450,146784,157169,107558,69949,47605,356852,3269961
1. Pengguna hak pilih dalam DPT (LK),47282,109697,50828,74388,39224,26158,87444,46521,103247,10169,17616,49948,143076,99756,11236,15671,22608,34507,5148,10328,15636,36305,80109,77027,81088,55905,36484,24270,80756,1492432
1. Pengguna hak pilih dalam DPT (PR),46076,101090,43628,63770,36879,27215,78475,44111,82150,8362,13436,39734,120907,77628,10182,12048,20823,30257,4959,9103,13799,31558,65341,69757,76081,51653,33465,23335,73464,1309286
1. Pengguna hak pilih dalam DPT (JML),93358,210787,94456,138158,76103,53373,165919,90632,185397,18531,31052,89682,263983,177384,21418,27719,43431,64764,10107,19431,29435,67863,145450,146784,157169,107558,69949,47605,154220,2801718
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),185,0,40,0,0,125,0,0,36,15,18,0,0,0,0,76,15,105,0,7,0,0,0,0,0,0,0,0,480,1102
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),162,0,35,0,0,93,0,0,35,9,15,0,0,0,0,41,8,69,0,13,0,0,0,0,0,0,0,0,521,1001
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),347,0,75,0,0,218,0,0,71,24,33,0,0,0,0,117,23,174,0,20,0,0,0,0,0,0,0,0,1001,2103
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),100,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,536
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),141,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,515
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),241,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,1051
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),2288,0,357,0,590,1626,0,0,185,45,271,0,0,0,146,1106,721,917,147,465,140,0,0,0,0,0,0,0,6029,15033
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),2133,0,245,0,510,1690,0,0,99,33,253,0,0,0,139,789,601,639,146,319,80,0,0,0,0,0,0,0,5664,13340
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),4421,0,602,0,1100,3316,0,0,284,78,524,0,0,0,285,1895,1322,1556,293,784,220,0,0,0,0,0,0,0,11693,28373
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),49855,109697,51225,74388,39814,28070,87444,46521,103468,10229,17905,49948,143076,99756,11382,16853,23344,35529,5295,10800,15776,36305,80109,77027,81088,55905,36484,24270,87540,1509103
