RIAU,KAMPAR,INDRAGIRI HULU,BENGKALIS,INDRAGIRI HILIR,PELALAWAN,ROKAN HULU,ROKAN HILIR,SIAK,KUANTAN SINGINGI,KEPULAUAN MERANTI,KOTA PEKANBARU,KOTA DUMAI,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),280313,148902,196908,265126,126985,180078,213870,142631,117197,72965,317208,103223,2165406
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),264527,142596,183365,245173,114310,171012,203153,131818,112859,67499,310004,96584,2042900
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),544840,291498,380273,510299,241295,351090,417023,274449,230056,140464,627212,199807,4208306
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),447,402,726,883,166,252,106,410,165,192,2068,158,5975
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),397,283,616,375,94,83,74,355,54,82,1696,81,4190
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),844,685,1342,1258,260,335,180,765,219,274,3764,239,10165
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),1656,0,0,0,283,59,195,75,120,0,1099,172,3659
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),1358,0,0,0,269,60,162,76,59,0,177,54,2215
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),3014,0,0,0,552,119,357,151,179,0,1276,226,5874
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),6561,3686,4314,4484,2941,1820,1735,3480,1067,648,17090,2087,49913
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),5669,3268,3896,3166,2621,1673,1589,3188,885,418,17309,1980,45662
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),12230,6954,8210,7650,5562,3493,3324,6668,1952,1066,34399,4067,95575
5. Jumlah Pemilih (1+2+3+4+5) (LK),288977,152990,201948,270493,130375,182209,215906,146596,118549,73805,337465,105640,2224953
5. Jumlah Pemilih (1+2+3+4+5) (PR),271951,146147,187877,248714,117294,172828,204978,135437,113857,67999,329186,98699,2094967
5. Jumlah Pemilih (1+2+3+4+5) (JML),560928,299137,389825,519207,247669,355037,420884,282033,232406,141804,666651,204339,4319920
1. Pengguna hak pilih dalam DPT (LK),174846,86285,126148,142643,76463,123351,142137,88639,72517,40496,168837,59298,1301660
1. Pengguna hak pilih dalam DPT (PR),176488,84732,123570,134184,70775,119985,139506,85298,76882,43687,185588,60122,1300817
1. Pengguna hak pilih dalam DPT (JML),351334,171017,249718,276827,147238,243336,281643,173937,149399,84183,354425,119420,2602477
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),401,397,684,880,164,252,102,409,165,184,2034,158,5830
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),372,282,571,370,90,83,74,355,52,79,1663,81,4072
