SUMATERA SELATAN,OGAN KOMERING ULU,OGAN KOMERING ILIR,MUARA ENIM,LAHAT,MUSI RAWAS,MUSI BANYUASIN,BANYUASIN,OGAN KOMERING ULU TIMUR,OGAN KOMERING ULU SELATAN,OGAN ILIR,EMPAT LAWANG,KOTA PALEMBANG,KOTA PAGAR ALAM,KOTA LUBUKLINGGAU,KOTA PRABUMULIH,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),128116,285965,268067,148931,217990,233392,297128,242898,135502,149900,93198,567461,53203,76642,65852,2964245
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),123781,270172,268023,144112,209703,224411,289323,233474,124885,151326,88289,576553,51317,78051,67360,2900780
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),251897,556137,536090,293043,427693,457803,586451,476372,260387,301226,181487,1144014,104520,154693,133212,5865025
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),127,335,330,141,319,391,421,39,40,320,0,2184,36,167,265,5115
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),70,209,182,117,293,230,418,27,16,418,0,2162,39,135,226,4542
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),197,544,512,258,612,621,839,66,56,738,0,4346,75,302,491,9657
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),8,184,195,45,0,368,180,443,48,539,112,480,24,89,10,2725
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),8,160,194,45,0,335,58,600,47,493,87,492,31,99,4,2653
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),16,344,389,90,0,703,238,1043,95,1032,199,972,55,188,14,5378
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),1182,1590,2084,1494,1137,2766,3762,719,225,1278,602,12114,347,993,488,30781
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),1137,1508,1918,1534,867,2082,3532,770,216,1312,452,13205,344,975,392,30244
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),2319,3098,4002,3028,2004,4848,7294,1489,441,2590,1054,25319,691,1968,880,61025
5. Jumlah Pemilih (1+2+3+4+5) (LK),129433,288074,270676,150611,219446,236917,301491,244099,135815,152037,93912,582239,53610,77891,66615,3002866
5. Jumlah Pemilih (1+2+3+4+5) (PR),124996,272049,270317,145808,210863,227058,293331,234871,125164,153549,88828,592412,51731,79260,67982,2938219
5. Jumlah Pemilih (1+2+3+4+5) (JML),254429,560123,540993,296419,430309,463975,594822,478970,260979,305586,182740,1174651,105341,157151,134597,5941085
1. Pengguna hak pilih dalam DPT (LK),86442,211476,192246,102373,160460,151199,202771,190287,98582,97506,54847,363857,35775,50154,42937,2040912
1. Pengguna hak pilih dalam DPT (PR),85214,209810,199180,103961,157025,147253,206942,187364,89265,104729,54932,395752,35453,53836,46490,2077206
1. Pengguna hak pilih dalam DPT (JML),171656,421286,391426,206334,317485,298452,409713,377651,187847,202235,109779,759609,71228,103990,89427,4118118
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),127,330,319,141,291,373,421,31,40,272,0,2144,33,161,265,4948
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),70,201,170,117,264,218,418,26,16,341,0,2125,37,134,226,4363
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),197,531,489,258,555,591,839,57,56,613,0,4269,70,295,491,9311
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),4,142,80,29,0,115,172,207,28,144,112,128,14,9,3,1187
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),8,49,77,27,0,116,48,260,36,133,87,124,16,8,1,990
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),12,191,157,56,0,231,220,467,64,277,199,252,30,17,4,2177
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),1182,1590,2084,1494,1137,2766,3762,719,225,1278,602,12114,347,993,488,30781
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),1137,1508,1918,1534,867,2082,3532,770,216,1312,452,13205,344,975,392,30244
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),2319,3098,4002,3028,2004,4848,7294,1489,441,2590,1054,25319,691,1968,880,61025
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),87755,213538,194729,104037,161888,154453,207126,191244,98875,99200,55561,378243,36169,51317,43693,2077828
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),86429,211568,201345,105639,158156,149669,210940,188420,89533,106515,55471,411206,35850,54953,47109,2112803
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),174184,425106,396074,209676,320044,304122,418066,379664,188408,205715,111032,789449,72019,106270,90802,4190631
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),256926,568214,546714,298803,435247,466950,596999,485899,265612,307286,185103,1177196,106610,157591,135930,5991080
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,207,294,76,58,149,99,302,113,6,67,23,1371,25,36,102,2928
Jumlah surat suara yang tidak digunakan,82535,142814,150564,89069,115054,162729,178631,106122,77198,101504,74048,386376,34566,51285,45026,1797521
Jumlah surat suara digunakan,174184,425106,396074,209676,320044,304122,418066,379664,188408,205715,111032,789449,72019,106270,90802,4190631
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,173119,422312,393672,208027,317965,302105,414047,377667,187285,204165,108768,782641,71585,105677,90177,4159212
Jumlah Suara tidak sah,1065,2794,2402,1649,2079,2017,4019,1997,1123,1550,2264,6808,434,593,625,31419
Jumlah suara sah dan tidak sah,174184,425106,396074,209676,320044,304122,418066,379664,188408,205715,111032,789449,72019,106270,90802,4190631
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,64472,191662,217125,83865,193367,176549,224109,152303,77139,96506,48436,372168,33579,49873,45896,2027049
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,173119,422312,393672,208027,317965,302105,414047,377667,187285,204165,108768,782641,71585,105677,90177,4159212
