BENGKULU,BENGKULU SELATAN,REJANG LEBONG,BENGKULU UTARA,KAUR,SELUMA,MUKOMUKO,LEBONG,KEPAHIANG,BENGKULU TENGAH,KOTA BENGKULU,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),58167,99503,103688,45617,71162,62111,41141,56226,39172,125972,702759
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),56713,97506,97991,42660,67409,57635,39129,53187,37780,126298,676308
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),114880,197009,201679,88277,138571,119746,80270,109413,76952,252270,1379067
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),28,92,87,20,19,37,9,95,66,258,711
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),18,60,60,9,16,23,8,80,140,182,596
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),46,152,147,29,35,60,17,175,206,440,1307
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),68,73,7,50,3,218,130,50,99,230,928
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),31,79,8,68,4,193,113,38,94,232,860
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),99,152,15,118,7,411,243,88,193,462,1788
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),444,782,1347,161,176,660,188,392,90,3038,7278
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),422,834,1190,139,225,437,146,402,84,2960,6839
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),866,1616,2537,300,401,1097,334,794,174,5998,14117
5. Jumlah Pemilih (1+2+3+4+5) (LK),58707,100450,105129,45848,71360,63026,41468,56763,39427,129498,711676
5. Jumlah Pemilih (1+2+3+4+5) (PR),57184,98479,99249,42876,67654,58288,39396,53707,38098,129672,684603
5. Jumlah Pemilih (1+2+3+4+5) (JML),115891,198929,204378,88724,139014,121314,80864,110470,77525,259170,1396279
1. Pengguna hak pilih dalam DPT (LK),36533,65367,75065,31520,50348,42875,25596,37823,29586,75642,470355
1. Pengguna hak pilih dalam DPT (PR),39115,66344,74126,31229,49680,40936,26607,36214,30074,83046,477371
1. Pengguna hak pilih dalam DPT (JML),75648,131711,149191,62749,100028,83811,52203,74037,59660,158688,947726
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),28,81,87,18,19,35,9,90,62,257,686
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),18,56,60,9,16,21,8,76,129,181,574
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),46,137,147,27,35,56,17,166,191,438,1260
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),53,45,3,30,1,112,54,19,56,112,485
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),16,43,0,38,3,100,41,12,59,122,434
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),69,88,3,68,4,212,95,31,115,234,919
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),444,782,1337,159,176,658,186,392,90,3038,7262
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),422,834,1182,136,225,437,146,402,81,2960,6825
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),866,1616,2519,295,401,1095,332,794,171,5998,14087
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),37058,66275,76492,31727,50544,43680,25845,38324,29794,79049,478788
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),39571,67277,75368,31412,49924,41494,26802,36704,30343,86309,485204
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),76629,133552,151860,63139,100468,85174,52647,75028,60137,165358,963992
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),117183,200948,205539,90103,141585,121938,81965,111602,78616,257383,1406862
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,6,98,25,5,8,59,63,16,6,48,334
Jumlah surat suara yang tidak digunakan,40548,67298,53654,26959,41109,36705,29255,36558,18473,91977,442536
Jumlah surat suara digunakan,76629,133552,151860,63139,100468,85174,52647,75028,60137,165358,963992
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,76118,132542,150759,62701,99418,84670,52304,74492,59571,164267,956842
Jumlah Suara tidak sah,511,1010,1101,438,1050,504,343,536,566,1091,7150
Jumlah suara sah dan tidak sah,76629,133552,151860,63139,100468,85174,52647,75028,60137,165358,963992
H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,31154,73479,55425,26245,39887,35039,22935,41837,26040,81132,433173
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,44964,59063,95334,36456,59531,49631,29369,32655,33531,83135,523669
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,76118,132542,150759,62701,99418,84670,52304,74492,59571,164267,956842
