LAMPUNG,LAMPUNG SELATAN,LAMPUNG TENGAH,LAMPUNG UTARA,LAMPUNG BARAT,TULANG BAWANG,TANGGAMUS,LAMPUNG TIMUR,WAY KANAN,PESAWARAN,PRINGSEWU,MESUJI,TULANG BAWANG BARAT,KOTA BANDAR LAMPUNG,KOTA METRO,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),362952,464955,220954,169623,149658,237934,396552,173248,164755,157935,76614,103900,330827,55286,3065193
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),346210,440351,217338,152018,136515,221085,380426,162741,155191,151621,70146,98744,322903,55729,2911018
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),709162,905306,438292,321641,286173,459019,776978,335989,319946,309556,146760,202644,653730,111015,5976211
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),35,224,166,362,1008,118,163,54,222,105,33,53,1625,122,4290
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),28,133,137,384,401,107,113,35,203,75,27,36,1579,64,3322
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),63,357,303,746,1409,225,276,89,425,180,60,89,3204,186,7612
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),107,559,57,177,380,177,891,469,248,50,1602,46,998,171,5932
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),103,547,64,163,399,202,929,264,178,54,1069,41,977,39,5029
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),210,1106,121,340,779,379,1820,733,426,104,2671,87,1975,210,10961
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),3227,3079,2506,1438,1836,634,2375,550,677,1132,538,1188,16493,1159,36832
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),3281,3208,2953,1454,1344,571,2730,530,866,1278,382,1242,18174,1349,39362
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),6508,6287,5459,2892,3180,1205,5105,1080,1543,2410,920,2430,34667,2508,76194
