KEPULAUAN BANGKA BELITUNG,BANGKA,BELITUNG,BANGKA SELATAN,BANGKA TENGAH,BANGKA BARAT,BELITUNG TIMUR,KOTA PANGKALPINANG,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),109067,60000,68901,62573,63824,41492,68885,474742
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),103142,57335,64976,57828,59966,39411,67658,450316
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),212209,117335,133877,120401,123790,80903,136543,925058
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),406,130,83,64,101,161,506,1451
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),230,87,65,41,67,61,225,776
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),636,217,148,105,168,222,731,2227
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),521,112,33,73,25,43,383,1190
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),178,54,26,83,15,18,246,620
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),699,166,59,156,40,61,629,1810
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),1768,578,906,1019,1414,288,2115,8088
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),1705,500,686,846,1171,223,1630,6761
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),3473,1078,1592,1865,2585,511,3745,14849
5. Jumlah Pemilih (1+2+3+4+5) (LK),111762,60820,69923,63729,65364,41984,71889,485471
5. Jumlah Pemilih (1+2+3+4+5) (PR),105255,57976,65753,58798,61219,39713,69759,458473
5. Jumlah Pemilih (1+2+3+4+5) (JML),217017,118796,135676,122527,126583,81697,141648,943944
1. Pengguna hak pilih dalam DPT (LK),65339,44176,40538,37077,43138,30314,39962,300544
1. Pengguna hak pilih dalam DPT (PR),65540,44738,39133,36473,42073,30984,41735,300676
1. Pengguna hak pilih dalam DPT (JML),130879,88914,79671,73550,85211,61298,81697,601220
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),405,125,67,54,100,137,394,1282
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),230,87,42,35,65,52,200,711
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),635,212,109,89,165,189,594,1993
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),402,73,26,37,20,28,205,791
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),107,23,22,30,8,15,135,340
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),509,96,48,67,28,43,340,1131
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),1768,578,906,1017,1411,286,2111,8077
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),1705,500,686,845,1168,220,1629,6753
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),3473,1078,1592,1862,2579,506,3740,14830
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),67914,44952,41537,38185,44669,30765,42672,310694
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),67582,45348,39883,37383,43314,31271,43699,308480
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),135496,90300,81420,75568,87983,62036,86371,619174
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),216576,119705,136417,122865,126646,82539,139063,943811
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,105,20,62,89,24,18,120,438
Jumlah surat suara yang tidak digunakan,80975,29385,54935,47208,38639,20485,52572,324199
Jumlah surat suara digunakan,135496,90300,81420,75568,87983,62036,86371,619174
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,134170,89239,80809,74785,87197,61359,85506,613065
Jumlah Suara tidak sah,1326,1061,611,783,786,677,865,6109
Jumlah suara sah dan tidak sah,135496,90300,81420,75568,87983,62036,86371,619174
H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,48689,28539,24574,22078,22481,18542,35803,200706
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,85481,60700,56235,52707,64716,42817,49703,412359
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,134170,89239,80809,74785,87197,61359,85506,613065
