nama_provinsi,kode_kabkota,nama_kabkota,koordinat_kabkota,tahun,angka_harapan_hidup,angka_melek_huruf,lama_sekolah,pengeluaran_perkapita,ipm
Nanggroe Aceh Darussalam,24,Nanggroe Aceh Darussalam,"5.54215,95.3431",2012,69.0132353,96.90984322,9.130436843,616.9788417,72.5462263
Kepulauan Riau,32,Kepulauan Riau,"1.04902,104.49",2012,69.54714286,96.03032371,8.553401414,641.0693029,74.075698
DKI Jakarta,39,DKI Jakarta,"-6.18367,106.836",2012,72.96,99.183507,10.35787002,641.4214517,78.03620717
Jawa Barat,66,Jawa Barat,"-6.90992,107.647",2012,68.51653846,96.90789565,8.305547992,640.2445069,73.45102538
Jawa Tengah,102,Jawa Tengah,"-7.02842,110.389",2012,70.76628571,91.61269183,7.652899551,644.2348457,73.3481138
Daerah Istimewa Yogyakarta,108,Daerah Istimewa Yogyakarta,"-7.80279,110.376",2012,73.152,92.3643816,9.41991452,646.413448,76.3172752
Jawa Timur,147,Jawa Timur,"-7.27981,112.711",2012,68.76295187,90.02790053,7.695666513,643.7028018,71.87366947
Banten,156,Banten,"-6.17562,106.652",2012,66.1875,97.04705563,8.614659038,641.9286638,72.54674475
Bali,166,Bali,"-8.66035,115.227",2012,71.36555556,88.60955233,8.121725422,645.9856967,73.49582733
Nusa Tenggara Barat,177,Nusa Tenggara Barat,"-8.58142,116.117",2012,62.506,85.7788679,7.59489092,631.974222,66.4752296
Nusa Tenggara Timur,199,Nusa Tenggara Timur,"-10.225,123.603",2012,66.98619048,88.74292371,6.932617805,604.2283952,66.99501138
Sumatera Utara,233,Sumatera Utara,"3.6686,98.6712",2012,69.66831561,97.10319264,8.764821591,634.0422255,73.9967287
Kalimantan Barat,248,Kalimantan Barat,"-0.089018,109.351",2012,67.07928571,91.26765621,7.027093871,623.4796836,69.16073236
Kalimantan Tengah,263,Kalimantan Tengah,"-1.77978,113.809",2012,69.31,98.23333707,8.236150843,643.1463843,74.35851229
Kalimantan Selatan,277,Kalimantan Selatan,"-3.32828,114.573",2012,65.59399738,96.56860623,7.832289269,643.9953585,71.69036754
Kalimantan Timur,292,Kalimantan Timur,"-0.430184,117.174",2012,71.41,96.66713143,8.724271193,643.29784,75.550371
Sulawesi Utara,308,Sulawesi Utara,"1.50213,124.852",2012,71.74266667,99.4135298,8.687988793,631.16529,75.38402447
Sulawesi Tengah,320,Sulawesi Tengah,"-0.820163,119.9",2012,66.19818182,96.61215318,8.270006864,626.6848982,71.02647664
Sulawesi Selatan,345,Sulawesi Selatan,"-5.15306,119.453",2012,71.99213246,88.59401013,7.699215938,637.2339033,72.85333279
Sulawesi Tenggara,358,Sulawesi Tenggara,"-4.0035,122.553",2012,68.15583333,92.341126,8.239874975,621.4841608,70.74200033
Gorontalo,365,Gorontalo,"0.531953,123.088",2012,68.33166667,96.61379783,7.469647833,623.2718283,71.356337
Sulawesi Barat,371,Sulawesi Barat,"-2.35397,119.332",2012,67.926,90.8826134,7.49911364,636.451122,70.8944256
Sumatera Barat,391,Sumatera Barat,"-1.00273,100.451",2012,69.15789474,97.74870705,8.7815612,634.9554511,73.93935658
Maluku,403,Maluku,"-3.67265,128.234",2012,67.65545455,97.65647464,8.718703564,618.5725155,71.77559809
Maluku Utara,413,Maluku Utara,"0.809597,127.339",2012,66.54222222,96.74153033,8.318008489,607.2795433,69.78708211
Papua,443,Papua,"-2.6529,140.772",2012,67.09216134,59.63119845,5.465296186,601.7939779,59.31017872
Papua Barat,455,Papua Barat,"-0.927203,131.366",2012,68.64913045,90.90026136,8.1174268,583.7322027,67.69704664
Riau,468,Riau,"0.557415,101.462",2012,69.80166667,97.973947,8.62227675,649.6096525,75.3579165
Jambi,480,Jambi,"-1.62225,103.641",2012,69.81272727,96.58750482,8.127781427,642.62308,74.15147982
Sumatera Selatan,496,Sumatera Selatan,"-3.0036,104.728",2012,68.656,97.88981147,8.068000273,623.255716,72.26206373
Bengkulu,507,Bengkulu,"-3.85375,102.297",2012,68.141,95.4270257,8.24590785,624.893046,71.6865772
Lampung,522,Lampung,"-5.42396,105.251",2012,69.61693993,95.54238714,7.922089693,619.778945,71.89836443
Kepulauan Bangka Belitung,530,Kepulauan Bangka Belitung,"-2.22588,106.128",2012,68.81285714,96.08006914,7.708108543,635.6539043,72.63551371
Nanggroe Aceh Darussalam,1101,Simeulue,"2.62818,96.0898",2012,63.12,99.287358,8.6298487,625.58611,70.092773
Nanggroe Aceh Darussalam,1102,Aceh Singkil,"2.439,97.9244",2012,65.28,96.254,7.7810878,617.48133,69.365654
Nanggroe Aceh Darussalam,1103,Aceh Selatan,"3.25638,97.213",2012,67.14,96.5547,8.4488032,614.18804,70.706725
Nanggroe Aceh Darussalam,1104,Aceh Tenggara,"3.59968,97.6619",2012,69.29,97.968021,9.3660422,605.78878,72.247663
Nanggroe Aceh Darussalam,1105,Aceh Timur,"4.56983,97.7723",2012,69.86,98.269811,8.5313677,594.86459,71.171604
Nanggroe Aceh Darussalam,1106,Aceh Tengah,"4.56693,96.8147",2012,69.76,98.652597,9.7110571,625.36657,74.424588
Nanggroe Aceh Darussalam,1107,Aceh Barat,"4.49032,96.041",2012,70.15,94.956114,8.7956927,607.02113,71.728578
Nanggroe Aceh Darussalam,1108,Aceh Besar,"5.35887,95.5144",2012,70.87,96.982597,9.8405478,617.09252,74.128695
Nanggroe Aceh Darussalam,1109,Pidie,"5.1152,95.9574",2012,69.84,96.306604,8.7354484,620.0138,72.812692
Nanggroe Aceh Darussalam,1110,Bireuen,"5.081,96.5974",2012,72.43,98.510407,9.2897492,601.22034,73.704208
Nanggroe Aceh Darussalam,1111,Aceh Utara,"4.99764,97.1454",2012,69.86,97.834044,9.1975263,614.34525,73.068854
Nanggroe Aceh Darussalam,1112,Aceh Barat Daya,"3.78325,96.9143",2012,67.38,96.470459,8.2507531,625.23723,71.525776
Nanggroe Aceh Darussalam,1113,Gayo Lues,"3.97798,97.323",2012,67.22,87.892604,8.7433466,607.64632,68.540516
Nanggroe Aceh Darussalam,1114,Aceh Tamiang,"4.20756,98.0029",2012,68.57,98.329594,8.8575768,607.12032,71.653943
Nanggroe Aceh Darussalam,1115,Nagan Raya,"4.15452,96.5184",2012,69.76,91.769706,8.1149603,611.39117,70.636208
Nanggroe Aceh Darussalam,1116,Aceh Jaya,"4.8271,95.6491",2012,68.13,94.759563,8.733617,604.82616,70.347613
Nanggroe Aceh Darussalam,1117,Bener Meriah,"4.76923,96.9901",2012,67.74,98.793633,8.8250984,614.8065,71.863977
Nanggroe Aceh Darussalam,1118,Pidie Jaya,"5.13828,96.2004",2012,69.36,95.482124,8.6932173,630.37278,73.129499
Nanggroe Aceh Darussalam,1171,Kota Banda Aceh,"5.54215,95.3431",2012,71.42,99.249959,12.254907,640.06111,78.495842
Nanggroe Aceh Darussalam,1172,Kota Sabang,"5.83886,95.2953",2012,71.59,99.093792,10.603799,634.22352,76.882857
Nanggroe Aceh Darussalam,1173,Kota Langsa,"4.48157,97.9214",2012,70.93,99.307705,10.58567,610.79413,74.745483
Nanggroe Aceh Darussalam,1174,Kota Lhokseumawe,"5.12941,97.0654",2012,71.474412,99.649637,10.384901,640.07459,77.230736
Nanggroe Aceh Darussalam,1175,Kota Subulussalam,"2.65359,97.9101",2012,66.13,96.551365,7.6250298,620.99107,70.058721
Sumatera Utara,1201,Nias,"1.12946,97.7191",2012,69.94,90.786858,6.4632241,614.76869,69.554466
Sumatera Utara,1202,Mandailing Natal,"0.716284,99.4183",2012,63.79,99.343336,7.9627296,644.44354,71.4359
Sumatera Utara,1203,Tapanuli Selatan,"1.52419,99.2215",2012,67.478132,99.833344,8.9652739,650.18082,74.778334
Sumatera Utara,1204,Tapanuli Tengah,"1.86878,98.6094",2012,68.4,95.837669,8.1940345,626.92345,72.039702
Sumatera Utara,1205,Tapanuli Utara,"2.0633,98.8284",2012,70.33,98.615984,9.0298347,639.71369,75.333698
Sumatera Utara,1206,Toba Samosir,"2.50027,99.0042",2012,70.82,98.498068,9.8707726,652.84712,77.214329
Sumatera Utara,1207,Labuhan Batu,"2.14783,99.9218",2012,70.226283,98.31686,8.7830704,643.07954,75.286095
Sumatera Utara,1208,Asahan,"2.98305,99.531",2012,69.28,97.997945,8.1738955,637.35986,73.797673
Sumatera Utara,1209,Simalungun,"2.95304,99.2713",2012,69.2,97.578204,8.8055656,640.29522,74.353973
Sumatera Utara,1210,Dairi,"2.82712,98.2783",2012,68.78,98.708625,8.9519011,632.23369,73.859245
Sumatera Utara,1211,Karo,"3.09635,98.2514",2012,72.38,98.728647,9.286167,633.60541,76.216965
