NUSA TENGGARA BARAT,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
LOMBOK BARAT,233714,241314,475028,182,242,424,261,342,603,2761,3838,6599,236918,245736,482654,160880,178966,339846,161,207,368,148,184,332,2753,3831,6584,163942,183188,347130,484742,220,137392,347130,343695,3435,347130,264566,79129,343695
LOMBOK TENGAH,353126,370833,723959,81,63,144,327,500,827,2164,3070,5234,355698,374466,730164,225309,265012,490321,79,62,141,169,252,421,2159,3064,5223,227716,268390,496106,739162,174,242882,496106,491668,4438,496106,362628,129040,491668
LOMBOK TIMUR,386177,446034,832211,474,397,871,3044,1975,5019,6501,5761,12262,396196,454167,850363,263829,355781,619610,356,307,663,2058,1166,3224,6472,5740,12212,272715,362994,635709,850263,178,214376,635709,627141,8568,635709,471546,155595,627141
SUMBAWA,162554,168471,331025,429,297,726,146,122,268,1166,1170,2336,164295,170060,334355,120771,123346,244117,376,253,629,94,77,171,1162,1166,2328,122403,124842,247245,338162,68,90849,247245,245594,1651,247245,160055,85539,245594
DOMPU,77928,80204,158132,41,19,60,118,124,242,940,1104,2044,79027,81451,160478,58112,62062,120174,38,19,57,86,77,163,940,1104,2044,59176,63262,122438,161481,19,39024,122438,121640,798,122438,85635,36005,121640
BIMA,174923,180858,355781,151,59,210,319,284,603,1016,1222,2238,176409,182423,358832,110360,124714,235074,150,59,209,144,144,288,1010,1217,2227,111664,126134,237798,362893,76,125019,237798,236176,1622,237798,168840,67336,236176
SUMBAWA BARAT,45194,45696,90890,150,72,222,89,120,209,624,586,1210,46057,46474,92531,31889,33262,65151,123,60,183,54,70,124,624,586,1210,32690,33978,66668,92868,23,26177,66668,66119,549,66668,43934,22185,66119
LOMBOK UTARA,78750,80334,159084,26,26,52,46,55,101,494,636,1130,79316,81051,160367,58020,61581,119601,26,25,51,37,33,70,494,636,1130,58577,62275,120852,161968,104,41012,120852,119185,1667,120852,83339,35846,119185
KOTA MATARAM,141913,150306,292219,333,332,665,505,479,984,4321,5373,9694,147072,156490,303562,97316,108776,206092,283,287,570,290,225,515,4309,5357,9666,102198,114645,216843,298431,98,81490,216843,215388,1455,216843,143741,71647,215388
KOTA BIMA,50632,53718,104350,123,49,172,63,64,127,711,893,1604,51529,54724,106253,36284,41111,77395,93,40,133,38,44,82,707,891,1598,37122,42086,79208,106713,16,27489,79208,78810,398,79208,59894,18916,78810
Jumlah Akhir,1704911,1817768,3522679,1990,1556,3546,4918,4065,8983,20698,23653,44351,1732517,1847042,3579559,1162770,1354611,2517381,1685,1319,3004,3118,2272,5390,20630,23592,44222,1188203,1381794,2569997,3596683,976,1025710,2569997,2545416,24581,2569997,1844178,701238,2545416
