NUSA TENGGARA TIMUR,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
KUPANG,100951,100444,201395,263,141,404,185,179,364,954,1033,1987,102353,101797,204150,74673,74446,149119,255,139,394,126,124,250,949,1017,1966,76003,75726,151729,205736,31,53976,151729,150699,1030,151729,79103,71596,150699
TIMOR TENGAH SELATAN,140084,149450,289534,759,329,1088,431,346,777,1141,1085,2226,142415,151210,293625,96666,103607,200273,754,323,1077,339,248,587,1136,1084,2220,98895,105262,204157,296706,51,92498,204157,201718,2439,204157,99317,102401,201718
TIMOR TENGAH UTARA,77474,80702,158176,71,26,97,238,220,458,422,396,818,78205,81344,159549,51586,56761,108347,69,26,95,138,138,276,422,396,818,52215,57321,109536,161607,23,52048,109536,108346,1190,109536,44956,63390,108346
BELU,119396,128522,247918,354,195,549,525,517,1042,2538,2516,5054,122813,131750,254563,67417,77901,145318,354,195,549,234,205,439,2538,2516,5054,70543,80817,151360,253162,94,101708,151360,149556,1804,151360,66568,82988,149556
ALOR,58994,65349,124343,218,115,333,226,278,504,997,893,1890,60435,66635,127070,46041,51711,97752,217,113,330,150,205,355,996,893,1889,47404,52922,100326,127077,14,26737,100326,99452,874,100326,47494,51958,99452
FLORES TIMUR,70849,84940,155789,117,70,187,230,228,458,1056,1061,2117,72252,86299,158551,50466,61725,112191,117,70,187,152,161,313,1056,1061,2117,51791,63017,114808,159050,17,44225,114808,113567,1241,114808,27117,86450,113567
SIKKA,92359,109478,201837,368,357,725,131,140,271,1098,1095,2193,93956,111070,205026,60581,76677,137258,367,357,724,82,89,171,1090,1088,2178,62120,78211,140331,207672,49,67292,140331,139288,1043,140331,30377,108911,139288
ENDE,76645,92962,169607,174,81,255,91,92,183,1085,1157,2242,77995,94292,172287,58171,71233,129404,174,81,255,61,60,121,1084,1156,2240,59490,72530,132020,173423,15,41388,132020,131390,630,132020,37979,93411,131390
NGADA,42451,47105,89556,45,26,71,42,41,83,673,627,1300,43211,47799,91010,30971,33775,64746,43,26,69,25,18,43,671,627,1298,31710,34446,66156,91627,31,25440,66156,65903,253,66156,20343,45560,65903
MANGGARAI,90825,99763,190588,216,118,334,115,121,236,1122,1002,2124,92278,101004,193282,62124,67714,129838,214,115,329,77,61,138,1120,1002,2122,63535,68892,132427,194804,20,62357,132427,131380,1047,132427,34028,97352,131380
SUMBA TIMUR,78305,74254,152559,140,110,250,143,132,275,999,882,1881,79587,75378,154965,53970,49037,103007,112,89,201,100,102,202,973,880,1853,55155,50108,105263,155623,15,50345,105263,104717,546,105263,29815,74902,104717
SUMBA BARAT,37442,36194,73636,22,9,31,10,4,14,264,287,551,37738,36494,74232,23301,22192,45493,22,9,31,10,3,13,264,287,551,23597,22491,46088,75300,3,29209,46088,45715,373,46088,13591,32124,45715
LEMBATA,31415,40988,72403,20,25,45,105,99,204,587,466,1053,32127,41578,73705,23537,30529,54066,20,25,45,62,55,117,576,460,1036,24195,31069,55264,73853,5,18584,55264,54816,448,55264,15357,39459,54816
