SUMATERA UTARA,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
TAPANULI TENGAH,109530,110431,219961,69,61,130,117,44,161,1563,1698,3261,111279,112234,223513,60972,68420,129392,68,56,124,84,21,105,1563,1698,3261,62687,70195,132882,223966,50,91034,132882,132094,788,132882,37093,95001,132094
TAPANULI UTARA,102306,107742,210048,194,153,347,541,502,1043,1016,1310,2326,104057,109707,213764,62389,67332,129721,173,125,298,246,241,487,1011,1265,2276,63819,68963,132782,214593,56,81755,132782,132359,423,132782,11615,120744,132359
TAPANULI SELATAN,97209,100826,198035,113,103,216,216,174,390,324,340,664,97862,101443,199305,62691,70447,133138,106,92,198,61,37,98,324,340,664,63182,70916,134098,202332,52,68182,134098,133244,854,134098,82611,50633,133244
NIAS,42759,47222,89981,41,26,67,25,30,55,140,143,283,42965,47421,90386,29296,32727,62023,40,26,66,10,13,23,139,142,281,29485,32908,62393,91997,15,29589,62393,61962,431,62393,6661,55301,61962
LANGKAT,358151,355866,714017,240,266,506,109,59,168,3561,3915,7476,362061,360106,722167,224640,245818,470458,236,261,497,77,43,120,3561,3915,7476,228514,250037,478551,729358,255,250552,478551,476104,2447,478551,247482,228622,476104
KARO,134031,141415,275446,89,64,153,293,453,746,1723,2072,3795,136136,144004,280140,79548,86117,165665,89,64,153,151,204,355,1723,2072,3795,81511,88457,169968,280955,45,110942,169968,169208,760,169968,25462,143746,169208
DELI SERDANG,671121,674968,1346089,1667,1962,3629,159,129,288,24530,26349,50879,697477,703408,1400885,361169,385873,747042,1594,1819,3413,82,81,163,24530,26349,50879,387375,414122,801497,1368917,397,567023,801497,798442,3055,801497,424682,373760,798442
SIMALUNGUN,316216,321280,637496,132,118,250,52,61,113,3352,3606,6958,319752,325065,644817,200159,214982,415141,131,118,249,30,39,69,3308,3606,6914,203628,218745,422373,649304,130,226801,422373,420751,1622,422373,144362,276389,420751
ASAHAN,245190,244352,489542,65,62,127,30,28,58,1881,2089,3970,247166,246531,493697,157249,172343,329592,65,62,127,17,19,36,1881,2089,3970,159212,174513,333725,499273,65,165483,333725,332268,1457,333725,154937,177331,332268
LABUHANBATU,151904,149106,301010,131,109,240,123,125,248,1651,1788,3439,153809,151128,304937,96393,99053,195446,128,100,228,61,71,132,1651,1788,3439,98233,101012,199245,306681,117,107319,199245,198472,773,199245,106571,91901,198472
DAIRI,100691,103803,204494,64,51,115,226,233,459,663,820,1483,101644,104907,206551,63167,67319,130486,62,47,109,141,145,286,662,820,1482,64032,68331,132363,209039,496,76180,132363,131857,506,132363,22125,109732,131857
TOBA SAMOSIR,62931,65791,128722,151,128,279,91,62,153,466,632,1098,63639,66613,130252,41483,44991,86474,148,125,273,54,39,93,466,632,1098,42151,45787,87938,131517,34,43545,87938,87679,259,87938,8154,79525,87679
MANDAILING NATAL,149969,157343,307312,56,55,111,120,117,237,860,950,1810,151005,158465,309470,91250,105105,196355,54,55,109,53,52,105,860,950,1810,92217,106162,198379,313828,80,115369,198379,197094,1285,198379,150048,47046,197094
