KALIMANTAN SELATAN,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
TANAH LAUT,119391,113825,233216,233,71,304,674,429,1103,2211,1718,3929,122509,116043,238552,74776,76494,151270,233,71,304,222,120,342,2211,1718,3929,77442,78403,155845,238182,126,82211,155845,153987,1858,155845,72095,81892,153987
KOTABARU,118029,108072,226101,530,225,755,684,632,1316,4216,2577,6793,123459,111506,234965,71490,68268,139758,528,221,749,309,296,605,4210,2577,6787,76537,71362,147899,231048,225,82924,147899,146311,1588,147899,57932,88379,146311
BANJAR,198696,193977,392673,715,534,1249,693,621,1314,2730,2514,5244,202834,197646,400480,126793,130505,257298,572,426,998,129,114,243,2730,2514,5244,130224,133559,263783,401080,295,137002,263783,256609,7174,263783,131493,125116,256609
BARITO KUALA,108529,107502,216031,98,49,147,41,28,69,411,461,872,109079,108040,217119,70071,74007,144078,95,47,142,26,17,43,411,461,872,70603,74532,145135,220650,41,75474,145135,142858,2277,145135,70890,71968,142858
TAPIN,65461,66996,132457,133,45,178,0,0,0,293,183,476,65887,67224,133111,47758,50449,98207,96,33,129,0,0,0,290,183,473,48144,50665,98809,135344,76,36459,98809,95921,2888,98809,58181,37740,95921
HULU SUNGAI SELATAN,82832,84766,167598,127,35,162,105,106,211,219,193,412,83283,85100,168383,50415,58567,108982,127,35,162,57,61,118,219,192,411,50818,58855,109673,171222,28,61521,109673,106542,3131,109673,53777,52765,106542
HULU SUNGAI TENGAH,92554,94513,187067,65,49,114,140,146,286,602,656,1258,93361,95364,188725,63316,70821,134137,65,47,112,63,91,154,599,655,1254,64043,71614,135657,191129,112,55360,135657,131791,3866,135657,79784,52007,131791
HULU SUNGAI UTARA,78834,82709,161543,58,75,133,42,56,98,373,395,768,79307,83235,162542,48868,56235,105103,55,72,127,21,25,46,351,372,723,49295,56704,105999,165111,53,59059,105999,103246,2753,105999,60178,43068,103246
TABALONG,84228,83646,167874,907,290,1197,738,407,1145,2196,1706,3902,88069,86049,174118,56287,59015,115302,907,290,1197,321,227,548,2196,1705,3901,59711,61237,120948,171530,66,50516,120948,119244,1704,120948,68841,50403,119244
TANAH BUMBU,112011,104124,216135,1151,449,1600,385,386,771,3402,2132,5534,116949,107091,224040,70783,69004,139787,1075,423,1498,88,58,146,3402,2132,5534,75348,71617,146965,220739,144,73630,146965,145054,1911,146965,51812,93242,145054
BALANGAN,44554,44891,89445,75,60,135,76,57,133,219,213,432,44924,45221,90145,30872,32380,63252,68,56,124,59,36,95,217,208,425,31216,32680,63896,91397,109,27392,63896,62221,1675,63896,29306,32915,62221
KOTA BANJARMASIN,239748,243405,483153,969,816,1785,335,333,668,7322,7131,14453,248374,251685,500059,144101,156342,300443,816,635,1451,210,182,392,7211,7106,14317,152338,164265,316603,493346,620,176123,316603,310884,5719,316603,153822,157062,310884
KOTA BANJARBARU,73660,74308,147968,481,413,894,296,163,459,3164,3403,6567,77601,78287,155888,47871,53018,100889,443,369,812,216,98,314,3164,3403,6567,51694,56888,108582,151163,135,42446,108582,106889,1693,108582,53698,53191,106889
