SULAWESI SELATAN,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
KEPULAUAN SELAYAR,43488,48397,91885,78,49,127,28,25,53,153,172,325,43747,48643,92390,29208,35722,64930,71,45,116,17,15,32,153,172,325,29449,35954,65403,93859,19,28437,65403,64883,520,65403,27340,37543,64883
BULUKUMBA,160541,174922,335463,161,92,253,60,56,116,755,871,1626,161517,175941,337458,89701,110639,200340,157,89,246,20,14,34,755,871,1626,90633,111613,202246,342118,22,139850,202246,200542,1704,202246,52970,147572,200542
BANTAENG,64462,70138,134600,126,99,225,68,64,132,250,230,480,64906,70531,135437,39015,47446,86461,121,94,215,37,38,75,250,230,480,39423,47808,87231,137597,33,50333,87231,86058,1173,87231,36403,49655,86058
JENEPONTO,140460,151167,291627,104,57,161,0,0,0,1248,1562,2810,141812,152786,294598,74977,94163,169140,89,29,118,0,0,0,1248,1562,2810,76314,95754,172068,297684,25,125591,172068,170853,1215,172068,85822,85031,170853
TAKALAR,97951,109405,207356,97,93,190,27,22,49,765,882,1647,98840,110402,209242,65911,82888,148799,42,36,78,14,13,27,765,882,1647,66732,83819,150551,211364,49,60764,150551,149774,777,150551,51298,98476,149774
GOWA,246231,262771,509002,348,363,711,141,96,237,5196,5841,11037,251916,269071,520987,168904,194405,363309,333,341,674,14,13,27,5196,5841,11037,174447,200600,375047,519884,150,144687,375047,373248,1799,375047,131623,241625,373248
SINJAI,84830,90816,175646,151,79,230,0,0,0,361,359,720,85342,91254,176596,53612,62738,116350,151,79,230,0,0,0,361,359,720,54124,63176,117300,179314,36,61978,117300,116317,983,117300,42042,74275,116317
BONE,263224,296499,559723,636,420,1056,263,288,551,2659,2785,5444,266782,299992,566774,176799,212523,389322,635,416,1051,153,174,327,2659,2785,5444,180246,215898,396144,572852,181,176527,396144,393579,2565,396144,53813,339766,393579
MAROS,119333,130183,249516,133,159,292,93,136,229,1524,1953,3477,121083,132431,253514,79242,91562,170804,117,136,253,49,65,114,1524,1953,3477,80932,93716,174648,254768,57,80063,174648,173910,738,174648,47191,126719,173910
PANGKAJENE DAN KEPULAUAN,114384,125838,240222,165,86,251,57,40,97,497,486,983,115103,126450,241553,74180,88903,163083,165,86,251,45,20,65,497,486,983,74887,89495,164382,245713,99,81232,164382,163666,716,164382,47468,116198,163666
BARRU,62988,68764,131752,203,109,312,52,66,118,356,392,748,63599,69331,132930,41405,50860,92265,193,109,302,36,44,80,356,392,748,41990,51405,93395,134291,38,40858,93395,92881,514,93395,13790,79091,92881
SOPPENG,85685,97008,182693,164,123,287,22,26,48,180,171,351,86051,97328,183379,58391,70709,129100,160,123,283,12,19,31,180,171,351,58743,71022,129765,186586,116,56705,129765,129204,561,129765,19645,109559,129204
WAJO,151570,169298,320868,286,137,423,229,223,452,1050,1104,2154,153135,170762,323897,95464,112570,208034,286,137,423,99,104,203,1050,1104,2154,96899,113915,210814,327641,150,116677,210814,209732,1082,210814,34889,174843,209732
