SUMATERA BARAT,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
PESISIR SELATAN,159458,162606,322064,358,446,804,47,63,110,1512,1507,3019,161375,164622,325997,91217,111825,203042,348,442,790,22,43,65,1500,1491,2991,93087,113801,206888,327032,128,120016,206888,205524,1364,206888,147150,58374,205524
SOLOK,132044,134978,267022,327,325,652,63,100,163,2241,2274,4515,134675,137677,272352,73251,88040,161291,319,316,635,22,38,60,2239,2268,4507,75831,90662,166493,272795,250,106052,166493,164973,1520,166493,141142,23831,164973
SIJUNJUNG,73776,73959,147735,160,169,329,14,9,23,988,935,1923,74938,75072,150010,44445,52824,97269,156,160,316,8,7,15,963,921,1884,45572,53912,99484,150587,100,51003,99484,98799,685,99484,74503,24296,98799
TANAH DATAR,132028,138749,270777,215,210,425,98,107,205,1809,1969,3778,134150,141035,275185,73015,92114,165129,205,206,411,47,61,108,1808,1967,3775,75075,94348,169423,277066,130,107513,169423,167620,1803,169423,127433,40187,167620
PADANG PARIAMAN,143205,148416,291621,215,190,405,119,102,221,2490,2481,4971,146029,151189,297218,76742,97490,174232,215,190,405,39,41,80,2485,2477,4962,79481,100198,179679,297905,103,118123,179679,178293,1386,179679,140938,37355,178293
AGAM,163247,168292,331539,261,274,535,90,100,190,2528,2594,5122,166126,171260,337386,94870,115623,210493,261,273,534,39,30,69,2516,2590,5106,97686,118516,216202,338732,148,122382,216202,214306,1896,216202,175914,38392,214306
LIMA PULUH KOTA,129500,135130,264630,132,124,256,23,29,52,775,820,1595,130430,136103,266533,75550,96081,171631,128,123,251,17,18,35,774,819,1593,76469,97041,173510,270107,71,96526,173510,171782,1728,173510,137083,34699,171782
PASAMAN,95725,98115,193840,204,207,411,64,57,121,796,938,1734,96789,99317,196106,54946,64815,119761,188,197,385,32,34,66,795,937,1732,55961,65983,121944,198082,62,76076,121944,120887,1057,121944,94243,26644,120887
KEPULAUAN MENTAWAI,29747,27144,56891,187,108,295,21,18,39,317,243,560,30272,27513,57785,20982,18940,39922,187,108,295,0,0,0,317,243,560,21486,19291,40777,58128,21,17330,40777,40511,266,40777,9071,31440,40511
DHARMASRAYA,72929,68903,141832,140,106,246,191,116,307,2181,1755,3936,75441,70880,146321,50741,52420,103161,140,106,246,101,62,163,2180,1754,3934,53162,54342,107504,144881,86,37291,107504,106878,626,107504,70141,36737,106878
SOLOK SELATAN,55521,53870,109391,189,160,349,104,109,213,1389,1189,2578,57203,55328,112531,33434,37267,70701,177,153,330,45,42,87,1381,1184,2565,35037,38646,73683,111844,64,38097,73683,73168,515,73683,56065,17103,73168
PASAMAN BARAT,128763,128734,257497,539,450,989,123,107,230,2893,2687,5580,132318,131978,264296,79322,87300,166622,521,437,958,68,62,130,2790,2582,5372,82701,90381,173082,262129,239,88808,173082,171960,1122,173082,129400,42560,171960
