MALUKU UTARA,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
HALMAHERA BARAT,38017,37286,75303,33,55,88,36,31,67,414,364,778,38500,37736,76236,27479,26959,54438,30,54,84,16,17,33,414,364,778,27939,27394,55333,76789,13,21443,55333,55099,234,55333,26309,28790,55099
HALMAHERA TENGAH,17910,16430,34340,21,9,30,38,41,79,442,299,741,18411,16779,35190,12828,12113,24941,21,9,30,30,28,58,441,296,737,13320,12446,25766,35020,0,9254,25766,25648,118,25766,12507,13141,25648
HALMAHERA UTARA,66755,64525,131280,190,168,358,138,142,280,1175,1187,2362,68258,66022,134280,42617,41874,84491,187,167,354,123,124,247,1167,1183,2350,44094,43348,87442,133938,18,46478,87442,87111,331,87442,37923,49188,87111
HALMAHERA SELATAN,82888,78919,161807,71,53,124,76,78,154,1227,809,2036,84262,79859,164121,55544,55063,110607,66,49,115,49,32,81,1227,809,2036,56886,55953,112839,164985,40,52106,112839,112268,571,112839,64072,48196,112268
KEPULAUAN SULA,50646,50005,100651,139,116,255,227,214,441,1180,1326,2506,52192,51661,103853,32957,33960,66917,125,104,229,121,118,239,1174,1193,2367,34377,35375,69752,102696,16,32928,69752,69479,273,69752,37701,31778,69479
HALMAHERA TIMUR,34451,30571,65022,76,41,117,72,77,149,784,679,1463,35383,31368,66751,21072,19530,40602,76,41,117,41,46,87,771,670,1441,21960,20287,42247,73976,27,24040,42247,42016,231,42247,21864,20152,42016
PULAU MOROTAI,23716,21800,45516,52,68,120,147,140,287,350,283,633,24265,22291,46556,18302,17020,35322,43,47,90,104,92,196,350,283,633,18799,17442,36241,46736,24,10471,36241,36105,136,36241,24702,11403,36105
KOTA TERNATE,76140,77667,153807,260,176,436,182,26,208,2313,2154,4467,78895,80023,158918,37920,41490,79410,260,176,436,131,20,151,2313,2154,4467,40624,43840,84464,157095,138,72493,84464,84156,308,84464,54043,30113,84156
KOTA TIDORE KEPULAUAN,36219,36308,72527,167,81,248,105,77,182,442,413,855,36933,36879,73812,24331,26362,50693,167,81,248,51,46,97,437,411,848,24986,26900,51886,66314,4,22086,51886,51511,375,51886,27671,23840,51511
Jumlah Akhir,426742,413511,840253,1009,767,1776,1021,826,1847,8327,7514,15841,437099,422618,859717,273050,274371,547421,975,728,1703,666,523,1189,8294,7363,15657,282985,282985,565970,857549,280,291299,565970,563393,2577,565970,306792,256601,563393
