PAPUA,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
MERAUKE,77451,70405,147856,185,162,347,198,211,409,2288,2133,4421,80122,72911,153033,47282,46076,93358,185,162,347,100,141,241,2288,2133,4421,49855,48512,98367,151029,55,52607,98367,97368,999,98367,47584,49784,97368
JAYAWIJAYA,110397,101352,211749,0,0,0,0,0,0,0,0,0,110397,101352,211749,109697,101090,210787,0,0,0,0,0,0,0,0,0,109697,101090,210787,215918,0,5131,210787,210745,42,210787,33262,177483,210745
JAYAPURA,64463,54763,119226,40,35,75,0,0,0,357,245,602,64860,55043,119903,50828,43628,94456,40,35,75,0,0,0,357,245,602,51225,43908,95133,121467,44,26290,95133,94416,717,95133,33076,61340,94416
NABIRE,76409,64610,141019,0,0,0,0,0,0,0,0,0,76409,64610,141019,74388,63770,138158,0,0,0,0,0,0,0,0,0,74388,63770,138158,143839,0,5681,138158,131602,6556,138158,41061,90541,131602
KEPULAUAN YAPEN,46609,42764,89373,0,0,0,0,0,0,591,511,1102,47200,43275,90475,39224,36879,76103,0,0,0,0,0,0,590,510,1100,39814,37389,77203,91167,26,13938,77203,76924,279,77203,11612,65312,76924
BIAK NUMFOR,46572,46396,92968,228,119,347,500,384,884,1629,1695,3324,48929,48594,97523,26158,27215,53373,125,93,218,161,163,324,1626,1690,3316,28070,29161,57231,93414,50,36133,57231,56671,560,57231,9300,47371,56671
PUNCAK JAYA,87444,78475,165919,0,0,0,0,0,0,0,0,0,87444,78475,165919,87444,78475,165919,0,0,0,0,0,0,0,0,0,87444,78475,165919,169175,0,3256,165919,165919,0,165919,78797,87122,165919
PANIAI,46521,44111,90632,0,0,0,0,0,0,0,0,0,46521,44111,90632,46521,44111,90632,0,0,0,0,0,0,0,0,0,46521,44111,90632,92444,0,1812,90632,90632,0,90632,7662,82970,90632
MIMIKA,130201,92520,222721,36,35,71,0,0,0,185,99,284,130422,92654,223076,103247,82150,185397,36,35,71,0,0,0,185,99,284,103468,82284,185752,227123,8,41363,185752,182520,3232,185752,57937,124583,182520
SARMI,14757,11891,26648,15,9,24,0,0,0,45,43,88,14817,11943,26760,10169,8362,18531,15,9,24,0,0,0,45,33,78,10229,8404,18633,27181,57,8491,18633,17681,952,18633,4586,13095,17681
KEEROM,25607,21163,46770,18,15,33,70,48,118,271,253,524,25966,21479,47445,17616,13436,31052,18,15,33,0,0,0,271,253,524,17905,13704,31609,47666,0,16057,31609,31394,215,31609,14710,16684,31394
PEGUNUNGAN BINTANG,49948,39734,89682,0,0,0,0,0,0,0,0,0,49948,39734,89682,49948,39734,89682,0,0,0,0,0,0,0,0,0,49948,39734,89682,91474,0,1792,89682,89651,31,89682,5502,84149,89651
YAHUKIMO,143076,120907,263983,0,0,0,0,0,0,0,0,0,143076,120907,263983,143076,120907,263983,0,0,0,0,0,0,0,0,0,143076,120907,263983,265877,0,1894,263983,261613,2370,263983,86297,175316,261613
