Id,Provinsi,Kabupaten / Kota,5. Jumlah Pemilih (1+2+3+4+5) (JML),H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden,Jumlah Tidak Memilih dan Suara Tidak Sah,Jumlah Tidak Memilih dan Suara Tidak Sah (%),Pasangan yang Unggul,Selisih Suara,Selisih Suara (%)
24,Nanggroe Aceh Darussalam,Nanggroe Aceh Darussalam,3357159,1089290,913309,2002599,1354560,40.34840173,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,175981,8.787630474
32,Kepulauan Riau,Kepulauan Riau,1396550,332908,491819,824727,571823,40.94540117,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-158911,-19.26831545
39,DKI Jakarta,DKI Jakarta,7523101,2528064,2859894,5387958,2135143,28.38115559,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-331830,-6.158733977
66,Jawa Barat,Jawa Barat,33821378,14167381,9530315,23697696,10123682,29.93278985,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,4637066,19.56758159
102,Jawa Tengah,Jawa Tengah,27606063,6485720,12959540,19445260,8160803,29.56163289,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-6473820,-33.29253504
108,Daerah Istimewa Yogyakarta,Daerah Istimewa Yogyakarta,2812144,977342,1234249,2211591,600553,21.35569871,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-256907,-11.61638838
147,Jawa Timur,Jawa Timur,30933642,10277088,11669313,21946401,8987241,29.05329091,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-1392225,-6.34375085
156,Banten,Banten,8230615,3192671,2398631,5591302,2639313,32.06702051,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,794040,14.20134344
166,Bali,Bali,2992122,614241,1535110,2149351,842771,28.16633145,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-920869,-42.8440492
177,Nusa Tenggara Barat,Nusa Tenggara Barat,3579559,1844178,701238,2545416,1034143,28.8902348,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,1142940,44.90189423
199,Nusa Tenggara Timur,Nusa Tenggara Timur,3237432,769391,1488076,2257467,979965,30.26982497,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-718685,-31.83590281
233,Sumatera Utara,Sumatera Utara,10129891,2831514,3494835,6326349,3803542,37.54770905,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-663321,-10.48505228
248,Kalimantan Barat,Kalimantan Barat,3560852,1032354,1573046,2605400,955452,26.83211771,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-540692,-20.7527443
263,Kalimantan Tengah,Kalimantan Tengah,1880910,468277,696199,1164476,716434,38.08975443,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-227922,-19.57292379
277,Kalimantan Selatan,Kalimantan Selatan,2888127,941809,939748,1881557,1006570,34.85199924,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,2061,0.109536942
292,Kalimantan Timur,Kalimantan Timur,3023405,687734,1190156,1877890,1145515,37.8882419,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-502422,-26.75460224
308,Sulawesi Utara,Sulawesi Utara,1934354,620095,724553,1344648,589706,30.48594001,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-104458,-7.768427127
320,Sulawesi Tengah,Sulawesi Tengah,1985135,632009,767151,1399160,585975,29.5181436,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-135142,-9.658795277
345,Sulawesi Selatan,Sulawesi Selatan,6426837,1214857,3037026,4251883,2174954,33.84174828,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-1822169,-42.85557716
358,Sulawesi Tenggara,Sulawesi Tenggara,1827083,511134,622217,1133351,693732,37.96937523,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-111083,-9.801288392
365,Gorontalo,Gorontalo,803465,378735,221497,600232,203233,25.2945679,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,157238,26.19620413
371,Sulawesi Barat,Sulawesi Barat,902061,165494,456021,621515,280546,31.1005575,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-290527,-46.74496995
391,Sumatera Barat,Sumatera Barat,3693822,1797505,539308,2336813,1357009,36.73726021,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,1258197,53.84243412
403,Maluku,Maluku,1238067,433981,443040,877021,361046,29.16207281,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-9059,-1.032928516
413,Maluku Utara,Maluku Utara,859717,306792,256601,563393,296324,34.46762132,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,50191,8.908701386
443,Papua,Papua,3269961,769132,2026735,2795867,474094,14.49846038,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-1257603,-44.98078771
455,Papua Barat,Papua Barat,730426,172528,360379,532907,197519,27.04161681,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-187851,-35.25024066
468,Riau,Riau,4319920,1349338,1342817,2692155,1627765,37.68044316,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,6521,0.242222309
480,Jambi,Jambi,2525649,871316,897787,1769103,756546,29.95451862,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-26471,-1.496295015
496,Sumatera Selatan,Sumatera Selatan,5941085,2132163,2027049,4159212,1781873,29.99238355,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,105114,2.527257567
507,Bengkulu,Bengkulu,1396279,433173,523669,956842,439437,31.47200524,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-90496,-9.457778818
522,Lampung,Lampung,6070978,2033924,2299889,4333813,1737165,28.61425293,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-265965,-6.13697453
530,Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,943944,200706,412359,613065,330879,35.05282093,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-211653,-34.52374544
,,,,,,,,,,,
